evaluations raw_y
1 136097950.2756888568
2 16800540.6902478449
40 14055439.7110389806
43 12389887.2911147326
51 1668742.0054149597
99 597372.9565545437
117 366589.2059363677
140 267087.6564751272
143 1160111.0727856010
evaluations raw_y
1 136097950.2756888568
2 16800540.6902478449
20 15698193.5787286181
28 14014217.6127552558
32 7618309.0605676956
40 3770039.4084208705
49 1633473.8646355965
73 1392865.4479365321
75 551885.3715033522
126 519329.8147042290
143 9518884.8553590886
evaluations raw_y
1 136097950.2756888568
2 16800540.6902478449
29 11839363.6186126713
32 903761.6429452049
77 522348.1186075217
119 427347.7127516808
126 278126.5058669494
136 111838.8778884959
143 2100961.1019232296
evaluations raw_y
1 136097950.2756888568
2 16800540.6902478449
35 15488052.4431576636
38 13871485.5959440321
40 10284101.7294387836
42 8586397.0048138909
49 5234740.8534202185
63 2536823.6583841578
70 1379011.7620930795
78 561170.5234831719
106 272111.7364532709
141 19848.7048538233
143 170423.1837656875
evaluations raw_y
1 136097950.2756888568
2 16800540.6902478449
32 1992662.7486332152
44 1714793.0496425549
71 702521.1426464691
106 385090.6309699191
107 172196.4772314184
114 115442.3497840025
137 98379.4571129960
143 1403537.1821987168
evaluations raw_y
1 33855135.3531912342
8 21603457.7792056389
29 8947404.2126754168
40 6215592.4207546609
44 5047281.8738716142
65 4078011.8515446689
66 1738255.1994830372
71 1615398.5657917066
77 972096.9759449034
102 76228.1145485368
143 8216798.4730749168
evaluations raw_y
1 33855135.3531912342
8 21603457.7792056389
26 10344091.0219585616
33 7100664.5454582544
37 2496111.8248623582
46 2437870.8311551847
65 694325.9625092939
84 281454.1585537776
95 164342.9996363422
143 1344116.5324722829
evaluations raw_y
1 33855135.3531912342
8 21603457.7792056389
31 16454890.6706010550
40 8391500.1069720890
45 4545278.9933231119
61 1741020.7824266471
65 1555266.9392662973
94 996797.6773550248
98 820412.4393553555
113 799485.9257438848
114 695569.7795749984
123 403892.8547192525
133 344637.0455168571
143 3043675.6695417659
evaluations raw_y
1 33855135.3531912342
8 21603457.7792056389
16 20718731.1235018745
26 15901726.3291109689
32 13407201.3296632338
33 3878634.3761986690
78 2570891.5181270787
87 1836413.9250291572
88 490779.8982808819
98 321965.7651783889
142 276570.8154859456
143 4540957.5408651913
evaluations raw_y
1 33855135.3531912342
8 21603457.7792056389
17 18920157.4411116317
24 9975444.6605098955
50 3060740.4385631974
56 1892524.1616742699
94 1195133.1384151373
111 819457.4613449983
122 207144.7773996289
143 2308632.1062785671
evaluations raw_y
1 8667442093.6041584015
2 188073885.5372673273
3 62259258.7276089191
14 7157645.1983073130
30 4239400.9349339930
52 2272467.3014674648
90 1808553.1873557188
107 1651998.4635368409
110 980758.1019975326
113 105652.0186478630
143 3357240.4634583979
evaluations raw_y
1 8667442093.6041584015
2 188073885.5372673273
3 62259258.7276089191
14 7157645.1983073130
43 5145587.9553295504
75 2462086.4273731662
94 997178.8432565861
127 766688.7665261659
137 641975.1884373869
143 1810823.4450165415
evaluations raw_y
1 8667442093.6041584015
2 188073885.5372673273
3 62259258.7276089191
14 7157645.1983073130
77 3706920.2291077273
82 1951047.3477840924
