evaluations raw_y
1 2767.1625804376
2 736.1054417379
3 678.3590225762
8 425.4228742062
42 420.6187200296
49 193.2786264005
95 166.7790995178
134 149.7840172577
137 132.3729499060
139 121.6118454568
142 113.8306229681
143 295.8484853006
evaluations raw_y
1 2767.1625804376
2 736.1054417379
3 678.3590225762
8 425.4228742062
36 410.9317953213
50 380.2590673089
56 219.3231800117
74 116.8711101815
128 105.0053799402
132 103.2137082002
134 98.0410492707
143 206.6074961078
evaluations raw_y
1 2767.1625804376
2 736.1054417379
3 678.3590225762
8 425.4228742062
34 410.7322583647
44 350.0662337739
76 265.8760815387
79 150.6307585577
139 93.1917713286
143 194.8056392419
evaluations raw_y
1 2767.1625804376
2 736.1054417379
3 678.3590225762
8 425.4228742062
31 252.3881891868
46 251.4948811376
56 147.0223606348
105 120.7345451753
123 104.7847659734
129 87.2052069686
130 74.2826651605
142 31.0903719643
143 220.2667081622
evaluations raw_y
1 2767.1625804376
2 736.1054417379
3 678.3590225762
8 425.4228742062
51 401.8950852094
52 271.4371924697
76 223.5766123721
80 216.1651302781
92 109.7639134958
131 96.9966146396
142 80.0692456145
143 237.4271045095
evaluations raw_y
1 1640.7316522130
3 1002.6628859095
14 973.7891388875
26 910.3282403102
27 876.8536162232
28 571.7095537111
37 417.5747709672
47 402.6496895605
59 229.1680008969
68 178.8082692081
85 114.9401791858
105 94.4491691356
124 90.7619952472
143 149.7365849728
evaluations raw_y
1 1640.7316522130
3 1002.6628859095
14 973.7891388875
24 745.5645132594
33 695.4003412666
34 666.9882874146
38 594.4064430187
41 498.0433805842
59 436.9342151656
67 203.6183677237
96 196.1956953735
101 188.0863123783
105 102.0337566611
139 63.7241149819
143 265.4408214653
evaluations raw_y
1 1640.7316522130
3 1002.6628859095
14 973.7891388875
24 584.8774843768
26 535.7949235141
39 133.5882805934
143 340.5166505470
evaluations raw_y
1 1640.7316522130
3 1002.6628859095
14 973.7891388875
18 710.4806247032
30 540.3283387696
41 366.9689794081
47 297.4327322421
48 258.3998633238
77 255.1352231688
82 254.5815597561
88 250.2067115401
89 204.2068096931
98 168.3293520554
103 165.9070809912
122 142.7770177019
134 111.0903315477
135 96.1172112705
143 343.2853688200
evaluations raw_y
1 1640.7316522130
3 1002.6628859095
14 973.7891388875
16 863.9368783673
36 332.3109930234
53 162.3509994338
81 115.0784228077
141 72.6366693905
143 236.9303903738
evaluations raw_y
1 3325.2820259030
2 2327.1870547311
3 2298.3248175555
4 2106.0057266316
5 1887.6987945147
11 1511.1517916716
15 1167.9610374911
33 673.5033574471
40 605.0201711463
42 410.2524847363
69 373.8869807031
82 202.6264307288
123 105.8296687494
143 298.6943057911
evaluations raw_y
1 3325.2820259030
2 2327.1870547311
3 2298.3248175555
4 2106.0057266316
5 1887.6987945147
11 1511.1517916716
15 1167.9610374911
34 736.5051127403
42 530.4367017953
44 429.4031907427
52 239.5434208979
79 166.2563535542
111 147.8101816005
121 82.2381261241
143 201.3610699554
evaluations raw_y
1 3325.2820259030
2 2327.1870547311
3 2298.3248175555
4 2106.0057266316
5 1887.6987945147
11 1511.1517916716
15 1167.9610374911
17 1145.2994795631
26 722.2752047482
