evaluations raw_y
1 502.6258355241
5 248.8427417244
14 199.8790371646
24 136.0331340751
37 105.3894742565
40 77.9397525866
46 75.5212489409
57 56.4169635438
139 50.9932988002
143 88.8157944724
evaluations raw_y
1 502.6258355241
5 248.8427417244
14 199.8790371646
24 173.6683457090
32 135.1517804025
38 125.4706208107
44 91.0338823208
45 75.1074921748
63 42.9717752184
115 35.1720122066
131 30.8503072184
143 80.1397027380
evaluations raw_y
1 502.6258355241
5 248.8427417244
14 199.8790371646
21 194.3214311691
27 156.3582206017
33 131.4108338183
37 123.5340672992
53 89.6901999677
71 71.5597292344
74 64.5879690540
112 39.4565225969
143 90.8698496113
evaluations raw_y
1 502.6258355241
5 248.8427417244
14 199.8790371646
33 79.2536531516
41 51.8121591239
50 46.3832289366
143 64.2750762576
evaluations raw_y
1 502.6258355241
5 248.8427417244
14 199.8790371646
30 146.0140122357
44 85.3688773045
57 70.2320910199
58 68.4308652198
67 43.0988846059
72 32.3517429863
143 71.8599936383
evaluations raw_y
1 309.9210984497
2 154.8517315531
5 135.6482471985
10 91.0821248807
35 58.5197303043
64 55.0736261977
79 50.9404668935
99 49.1992571942
102 49.1790686857
108 44.0105846372
113 37.9486202418
123 23.3957858155
143 80.8045389124
evaluations raw_y
1 309.9210984497
2 154.8517315531
5 135.6482471985
10 91.0821248807
24 67.4309491747
37 63.4575160748
55 45.7584001765
59 37.4113650434
66 37.2983673911
81 35.7015353481
83 30.3732523443
103 27.2219179428
117 15.4654188218
143 38.1962753344
evaluations raw_y
1 309.9210984497
2 154.8517315531
5 135.6482471985
10 91.0821248807
24 87.2815692336
40 72.7450178181
46 45.3502001565
78 44.6223650504
84 37.8833811536
94 33.9189154889
110 18.1395086302
143 52.0072629847
evaluations raw_y
1 309.9210984497
2 154.8517315531
5 135.6482471985
10 91.0821248807
33 78.8988723360
46 65.0859866497
49 55.1743382075
93 52.2416865921
110 51.9334201460
124 37.8827154263
129 37.1971758467
143 92.6115256668
evaluations raw_y
1 309.9210984497
2 154.8517315531
5 135.6482471985
10 91.0821248807
24 79.8209924588
25 79.7187083934
38 66.8087839843
41 63.3440316471
61 51.4456273328
72 51.2476422856
98 45.2744968038
114 37.0957774478
139 35.3146745445
143 31.7818379829
evaluations raw_y
1 73.4182572459
25 69.0150434249
28 43.4198504171
64 33.1806280442
143 53.7107097322
evaluations raw_y
1 73.4182572459
23 65.9008857344
42 57.5647077531
92 49.5038762164
96 26.0510488356
143 69.5357404524
evaluations raw_y
1 73.4182572459
31 50.9519631110
53 49.4309580642
84 48.0250145234
103 37.3007723101
143 54.5962278111
evaluations raw_y
1 73.4182572459
25 63.9393434012
41 39.7740456739
79 29.3328601020
139 21.0013901960
143 92.5318315693
evaluations raw_y
1 73.4182572459
29 62.3582048705
62 30.7718718818
104 30.3872338029
120 16.3941859873
143 77.1752691311
evaluations raw_y
1 253.8130351175
5 246.2137215524
9 68.0168630028
36 53.7805063894
93 33.1505887125
143 69.7992026259
evaluations raw_y
1 253.8130351175
5 246.2137215524
9 68.0168630028
53 66.9300321204
54 62.7427389312
64 50.8561127151
69 50.2551113519
109 38.5928215296
118 38.4946448598
122 37.7691213725
143 36.2935607045
evaluations raw_y
1 253.8130351175
5 246.2137215524
9 68.0168630028
70 57.9370551224
74 53.3689476392
100 51.9931973585
101 49.0137172445
108 38.7030356230
116 32.5275011765
139 31.2141744406
143 63.0140794699
evaluations raw_y
1 253.8130351175
5 246.2137215524
9 68.0168630028
45 51.6688706419
63 44.5911031042
118 42.0836517282
133 34.4013407973
143 50.1358672425
evaluations raw_y
1 253.8130351175
5 246.2137215524
9 68.0168630028
32 60.5997433525
35 58.8311061365
40 33.5405533698
93 31.1321814470
97 25.1127907485
114 18.9631531627
143 67.0381674502
evaluations raw_y
1 210.6013129739
2 173.5862936288
3 135.0424504129
11 118.2875364625
18 83.0976338075
29 71.4385590134
48 59.0818197998
49 38.7519875854
50 37.0068009494
85 34.3029963076
94 29.7979818604
143 64.9555035686
evaluations raw_y
1 210.6013129739
2 173.5862936288
3 135.0424504129
11 118.2875364625
18 70.5502929808
20 66.7416523579
48 57.6481538971
52 48.8118354397
65 38.1912046923
91 35.4195988004
127 33.3284793439
129 16.1494418009
143 47.4728786758
evaluations raw_y
1 210.6013129739
2 173.5862936288
3 135.0424504129
11 118.2875364625
16 100.7630078907
18 62.1412215294
32 51.8852493075
81 38.9061490343
143 74.7828019004
evaluations raw_y
1 210.6013129739
2 173.5862936288
3 135.0424504129
11 118.2875364625
24 111.7409378890
28 90.0714467499
35 69.7356396993
44 60.3575626860
51 49.4876793840
83 36.1682833068
133 26.9780834262
143 44.9509483306
evaluations raw_y
1 210.6013129739
2 173.5862936288
3 135.0424504129
11 118.2875364625
17 76.8621040285
18 66.8272379710
57 58.6828769716
59 54.7686338378
72 31.2502755901
111 14.4832468533
143 84.1176538736
evaluations raw_y
1 557.3706513169
2 474.1094535162
7 451.6719174538
10 371.8916482570
14 165.7472038971
40 147.7815361474
45 120.6119657810
48 94.5382749498
50 89.3474667899
62 76.8169345404
67 76.2019643505
81 66.9866774038
88 64.2216841975
90 38.7352978511
117 29.5062369419
143 85.4792525352
evaluations raw_y
1 557.3706513169
2 474.1094535162
7 451.6719174538
10 371.8916482570
14 165.7472038971
24 105.4589665433
26 105.0048702855
35 82.1389072558
49 74.1048417452
59 73.8865171317
63 47.8461794126
90 30.2533013168
116 28.6367276885
143 53.7608961983
evaluations raw_y
1 557.3706513169
2 474.1094535162
7 451.6719174538
10 371.8916482570
14 165.7472038971
26 109.1732434619
39 42.5571988772
76 42.5173827042
85 39.2917943128
117 30.5506042822
124 18.1032088300
143 42.3327387787
evaluations raw_y
1 557.3706513169
2 474.1094535162
7 451.6719174538
10 371.8916482570
14 165.7472038971
24 61.9188744430
61 43.8967767408
113 42.9503959248
117 19.0061433241
143 33.2656064096
evaluations raw_y
1 557.3706513169
2 474.1094535162
7 451.6719174538
10 371.8916482570
14 165.7472038971
24 156.3601508000
26 69.6688789265
51 68.5111266441
62 54.4438089867
67 49.4759424653
112 42.4234343023
129 28.4737894938
143 37.2136751009
evaluations raw_y
1 1600.7213990902
2 288.0956843183
4 65.4370348247
68 61.4386846930
74 25.3677006464
143 72.3834575326
evaluations raw_y
1 1600.7213990902
2 288.0956843183
4 65.4370348247
49 65.4016245218
56 47.3286038672
80 40.6836202714
84 36.2792388724
96 17.7522136809
143 57.4901581735
evaluations raw_y
1 1600.7213990902
2 288.0956843183
4 65.4370348247
25 65.1454227734
37 61.2959065766
48 38.9883659628
100 37.1034241812
143 65.5705533282
evaluations raw_y
1 1600.7213990902
2 288.0956843183
4 65.4370348247
81 51.6616037174
99 47.9866835454
110 44.1226726211
129 32.6930714587
143 71.1999191004
evaluations raw_y
1 1600.7213990902
2 288.0956843183
4 65.4370348247
32 55.9924122289
72 45.4545281291
84 43.6989136562
105 33.9595547463
143 93.9349875981
evaluations raw_y
1 1395.0588967643
2 139.7134234807
16 98.6921866528
25 71.0750154838
30 61.0522684712
39 58.2201722383
40 53.3680532419
66 48.4753251464
70 48.0967924774
86 43.8412951737
97 42.7380223907
100 40.1342327969
115 36.8107865389
128 30.7687510959
143 68.7832081364
evaluations raw_y
1 1395.0588967643
2 139.7134234807
17 73.3460252768
50 68.0063021018
55 64.7662646316
56 55.7093394335
65 39.4696440508
117 19.7195711989
143 49.8210154800
evaluations raw_y
1 1395.0588967643
2 139.7134234807
20 117.2734085947
25 109.4807751657
32 103.2486988906
38 94.2917845143
40 71.9694356720
43 70.1439002674
46 52.5924186435
47 51.9831177706
88 50.8381604035
93 36.3667116670
108 35.8953764620
114 28.6268303523
126 24.4346215944
143 53.2127459114
evaluations raw_y
1 1395.0588967643
2 139.7134234807
18 118.0849825949
26 58.6083280445
53 51.8467405339
92 45.7759451445
105 42.7480085815
107 12.2788967161
143 95.5693081578
evaluations raw_y
1 1395.0588967643
2 139.7134234807
25 101.9049752150
33 95.8989071401
35 79.0001360343
44 61.5520576599
49 49.3997409092
55 39.6850186888
69 27.8833266272
84 27.1392772456
92 20.8151900307
143 76.1697026804
evaluations raw_y
1 245.5913197314
7 135.4453495489
13 46.8399066121
49 43.5533550025
63 36.5820791039
111 31.1920088461
115 27.0678825603
140 13.4665521252
143 74.9027216433
evaluations raw_y
1 245.5913197314
7 135.4453495489
13 46.8399066121
40 46.5400374797
80 44.4794834932
84 41.3961318227
96 39.1761704066
98 35.2219954245
107 32.6119412727
119 31.7530104413
122 27.7829719713
124 26.6155928381
143 24.1418519077
evaluations raw_y
1 245.5913197314
7 135.4453495489
13 46.8399066121
88 40.3986720395
101 39.0713177103
126 31.9526298638
140 29.0923027555
143 42.8589473997
evaluations raw_y
1 245.5913197314
7 135.4453495489
13 46.8399066121
24 43.8715634360
111 40.1030831463
115 23.4120041494
143 59.4334289438
evaluations raw_y
1 245.5913197314
7 135.4453495489
13 46.8399066121
73 41.3352251637
113 37.1608288151
120 35.4252176132
142 27.6975103902
143 51.1467785697
evaluations raw_y
1 380.1298418643
2 272.7255836044
3 191.2504555499
4 162.6369239368
8 130.1026822203
20 71.3873637279
25 21.7682720548
143 71.6037464807
evaluations raw_y
1 380.1298418643
2 272.7255836044
3 191.2504555499
4 162.6369239368
8 130.1026822203
21 66.7442197930
55 52.9359921306
96 50.5941011175
99 40.3077113355
112 40.0728463630
130 27.5135932865
135 18.6529196269
143 58.6104586747
evaluations raw_y
1 380.1298418643
2 272.7255836044
3 191.2504555499
4 162.6369239368
8 130.1026822203
29 58.2801138551
55 54.8651968895
72 54.5278293766
74 41.1591489803
96 38.3201769669
107 34.3001455461
143 49.1321713624
evaluations raw_y
1 380.1298418643
2 272.7255836044
3 191.2504555499
4 162.6369239368
8 130.1026822203
16 77.8158829078
27 55.0629820541
43 36.1993765829
143 66.6573432270
evaluations raw_y
1 380.1298418643
2 272.7255836044
3 191.2504555499
4 162.6369239368
8 130.1026822203
29 74.3396977943
80 54.9259375336
113 49.3233118309
129 48.9589222360
136 38.6384950535
138 34.0173254896
143 86.4691114734
evaluations raw_y
1 4197.3401690254
2 1196.7052270887
3 772.3842563080
6 269.4840096313
7 143.3986171111
12 124.0483310923
25 56.7004888741
67 44.5357032313
70 29.6122849046
143 99.0340394290
evaluations raw_y
1 4197.3401690254
2 1196.7052270887
3 772.3842563080
6 269.4840096313
7 143.3986171111
12 124.0483310923
32 111.2991337909
40 80.3437563024
51 72.8731773508
53 71.0223899160
89 45.8748085433
115 36.9700666727
143 85.8494816064
evaluations raw_y
1 4197.3401690254
2 1196.7052270887
3 772.3842563080
6 269.4840096313
7 143.3986171111
12 124.0483310923
47 84.7935264356
73 83.9284136083
80 63.3134727849
90 54.8975267887
97 49.5734923437
106 46.4480631443
143 80.4137803730
evaluations raw_y
1 4197.3401690254
2 1196.7052270887
3 772.3842563080
6 269.4840096313
7 143.3986171111
12 124.0483310923
20 83.3203798755
27 77.5958310471
28 56.2249339109
87 51.8534313033
116 48.5403127197
142 41.0109381381
143 77.3172754404
evaluations raw_y
1 4197.3401690254
2 1196.7052270887
3 772.3842563080
6 269.4840096313
7 143.3986171111
12 124.0483310923
25 105.2237182457
35 71.8915775400
38 65.4827588646
50 35.5949523597
96 22.0805682335
143 52.9510836564
evaluations raw_y
1 1151.5054802889
3 248.2333711703
11 221.4043536961
12 172.0531669770
21 97.0023995152
22 93.1426295089
32 38.7915169604
79 26.6880866921
143 80.7648014726
evaluations raw_y
1 1151.5054802889
3 248.2333711703
11 221.4043536961
12 172.0531669770
26 93.8552325897
47 87.7438002625
56 80.9823848380
57 42.1759599412
93 36.4147072770
137 19.9558427996
143 43.7803414812
evaluations raw_y
1 1151.5054802889
3 248.2333711703
11 221.4043536961
12 172.0531669770
19 96.2199352502
25 81.8368341206
31 54.6565624961
44 47.9524733568
98 45.2576583370
117 27.3678169364
143 96.1893551802
evaluations raw_y
1 1151.5054802889
3 248.2333711703
11 221.4043536961
12 172.0531669770
17 155.8214912297
20 124.2923900008
25 26.6495670442
65 24.5672042224
143 53.5268170502
evaluations raw_y
1 1151.5054802889
3 248.2333711703
11 221.4043536961
12 172.0531669770
19 108.0544015044
25 84.7072071807
38 80.3991087813
43 49.9977768148
84 45.8849368363
98 43.7621341433
100 35.2042069867
111 31.6769876841
134 23.3478685604
143 62.4546148933
evaluations raw_y
1 533.9644425615
4 349.1913931881
5 171.6352498570
7 98.5466871829
8 89.7443756542
21 87.2511291370
25 84.4310346363
43 76.9714598435
53 57.7296794631
79 54.4578200341
85 37.4585832057
137 36.2259145963
143 78.5103228339
evaluations raw_y
1 533.9644425615
4 349.1913931881
5 171.6352498570
7 98.5466871829
8 89.7443756542
32 88.8461562708
43 69.2234089524
44 49.7299575523
51 47.1361412046
78 43.5567102501
111 37.1775822855
119 36.2468686782
143 55.9032079565
evaluations raw_y
1 533.9644425615
4 349.1913931881
5 171.6352498570
7 98.5466871829
8 89.7443756542
27 78.9750442472
31 72.3237369705
47 70.8261342200
48 45.9362303618
70 39.5504617008
91 27.2157987991
143 52.0681082422
evaluations raw_y
1 533.9644425615
4 349.1913931881
5 171.6352498570
7 98.5466871829
8 89.7443756542
34 83.9676475530
38 70.5715368528
42 64.5885393040
57 56.4131589440
58 51.3235532109
97 24.4817196339
143 76.1725221528
evaluations raw_y
1 533.9644425615
4 349.1913931881
5 171.6352498570
7 98.5466871829
8 89.7443756542
33 76.8654829327
61 73.1986966415
66 68.1220687500
82 49.9406757710
88 47.6764671631
113 33.8832221414
143 55.1800393588
evaluations raw_y
1 363.3210245345
2 354.0156383979
3 269.9693400261
5 147.6238408420
6 84.1523090313
23 79.3852804566
57 35.4823238477
87 33.7089397223
89 12.8190204756
143 109.8903012775
evaluations raw_y
1 363.3210245345
2 354.0156383979
3 269.9693400261
5 147.6238408420
6 84.1523090313
16 53.3394761709
18 45.3539311322
80 33.7040485830
102 30.0411152568
118 25.3948584250
138 24.0608886992
143 93.1631425008
evaluations raw_y
1 363.3210245345
2 354.0156383979
3 269.9693400261
5 147.6238408420
6 84.1523090313
40 78.2927080019
50 58.5555633480
54 23.4131377606
143 53.1131474005
evaluations raw_y
1 363.3210245345
2 354.0156383979
3 269.9693400261
5 147.6238408420
6 84.1523090313
17 55.7718007428
56 51.6568314254
67 51.6055170420
119 27.8547279880
143 49.8590846239
evaluations raw_y
1 363.3210245345
2 354.0156383979
3 269.9693400261
5 147.6238408420
6 84.1523090313
37 33.5583600336
143 57.4326670612
