evaluations raw_y
1 51.7627641903
2 46.0203198329
8 39.3102132227
13 28.3158673366
17 7.7897620759
37 6.5144922024
42 2.0401731776
54 0.6000504537
91 0.3606970473
127 0.3460030303
142 0.2750410706
143 1.3123478804
evaluations raw_y
1 51.7627641903
2 46.0203198329
8 39.3102132227
13 28.3158673366
16 1.6620660847
45 1.1370772832
53 0.9944186306
74 0.1236879726
115 0.1192487766
127 0.0295903328
143 0.0794476435
evaluations raw_y
1 51.7627641903
2 46.0203198329
8 39.3102132227
13 28.3158673366
16 16.3240409999
17 8.6285021131
30 2.4388175512
48 1.6369408196
94 0.3202028372
124 0.1761128193
143 1.0227268307
evaluations raw_y
1 51.7627641903
2 46.0203198329
8 39.3102132227
13 28.3158673366
17 27.2321599734
26 15.7085633325
32 7.7387441573
40 7.0523413470
48 5.9682819186
51 3.1942071158
61 2.2500310640
83 1.9666988370
84 1.6699824867
95 0.7381802316
102 0.5051546578
105 0.4343162108
128 0.2085632316
143 1.0167819297
evaluations raw_y
1 51.7627641903
2 46.0203198329
8 39.3102132227
13 28.3158673366
17 22.4585004751
18 9.6566095222
26 2.6925423516
71 0.7034606187
79 0.2591903346
117 0.0869836464
138 0.0479118841
143 0.6371924999
evaluations raw_y
1 28.2842833136
20 27.6758827590
23 26.7310096463
29 26.5272058699
30 14.7318449360
52 6.4603178782
60 5.5294975869
67 1.7451427146
111 1.6168805915
113 1.5268371851
115 1.0589695445
126 0.7637471605
134 0.6265992309
136 0.3859156754
139 0.3485265864
143 4.2480583433
evaluations raw_y
1 28.2842833136
17 20.6710933096
28 19.2119584544
47 15.3918430873
64 12.4988176192
72 7.7916027862
73 5.1257827331
75 2.7831938542
84 2.1500163004
131 0.8187127193
143 1.7685255379
evaluations raw_y
1 28.2842833136
31 26.3933246058
37 21.8195064330
43 12.1908192222
48 9.5024997972
53 4.1630804178
76 1.0171979902
111 0.4592866489
132 0.3791040398
143 2.9364724655
evaluations raw_y
1 28.2842833136
24 14.0273140232
60 10.9210068319
65 10.8266276584
68 10.5971217765
70 2.9554889697
77 2.0714515170
110 1.0211605422
138 0.7455096884
143 0.6606513223
evaluations raw_y
1 28.2842833136
27 24.5364292070
37 22.3484918846
45 21.6691629059
54 14.2770704605
55 13.1589461504
58 12.0554287753
61 10.5861313789
74 8.3678966910
76 7.5235136609
82 6.0799615776
85 2.3246189060
125 1.9537757821
135 1.7766057043
139 1.1565744886
