evaluations raw_y
1 346.6178988670
2 158.0599471636
6 136.7076202859
19 67.6391933898
31 64.5433441596
57 51.0687279245
58 46.8282563736
64 30.7292242401
78 27.2789257352
143 58.4517159773
evaluations raw_y
1 346.6178988670
2 158.0599471636
6 136.7076202859
19 132.1245388849
21 117.8629704247
24 95.8271403405
34 83.8692829389
35 56.2400795297
44 52.6629401018
70 46.9225927064
83 38.0506534006
142 35.6398393356
143 57.6750975978
evaluations raw_y
1 346.6178988670
2 158.0599471636
6 136.7076202859
17 115.0746574810
19 88.3553912315
27 81.3204426012
33 39.3059850857
88 25.8145698669
133 23.5320328878
136 23.1190595666
139 21.8461033942
143 77.9670292287
evaluations raw_y
1 346.6178988670
2 158.0599471636
6 136.7076202859
23 104.7901984603
25 77.9624644525
47 56.6202050668
60 51.0642515078
90 36.1468587750
143 43.0963769941
evaluations raw_y
1 346.6178988670
2 158.0599471636
6 136.7076202859
19 110.2719208307
26 81.8905853064
30 74.3033465255
36 69.7082454356
58 56.7390362410
60 52.6954514215
89 52.3886814783
90 45.3024622344
104 42.2949579877
105 39.1888912975
109 34.9264733053
113 29.5558572941
143 81.2012750201
evaluations raw_y
1 253.1058344122
2 114.2560429066
34 100.8913048881
43 88.2225926140
47 58.4104346216
49 53.0787517594
65 50.3595501779
75 37.4312700989
76 37.1434777749
102 33.3257826940
113 25.7745542448
143 99.5761797668
evaluations raw_y
1 253.1058344122
2 114.2560429066
30 77.1896989909
45 74.8342079564
55 65.3990584343
64 58.2793240550
69 45.7103594426
82 38.9723409856
114 38.8380533009
143 49.1546845084
evaluations raw_y
1 253.1058344122
2 114.2560429066
22 89.3023040099
37 57.3995026177
94 49.9458697481
128 45.4563601248
140 27.4792151604
143 67.6481593909
evaluations raw_y
1 253.1058344122
2 114.2560429066
27 86.6940087612
35 69.5129896633
75 55.8317917749
77 53.7238543656
78 52.3589763500
81 48.9814794799
100 48.7978003733
101 47.4752921905
124 45.5255672607
132 45.3431919514
143 97.9570759986
evaluations raw_y
1 253.1058344122
2 114.2560429066
24 70.0864914840
33 41.8188285246
110 29.2025399611
143 37.7808574772
evaluations raw_y
1 307.6619313988
3 123.3057706252
17 87.8151133113
31 57.7570288613
49 41.9895066482
79 32.7813003740
141 32.5326310741
143 62.9102584921
evaluations raw_y
1 307.6619313988
3 123.3057706252
41 84.1322318277
50 73.4608935621
59 52.8083121191
60 49.1374644313
102 37.3558737500
143 70.0362698877
evaluations raw_y
1 307.6619313988
3 123.3057706252
17 103.8355923753
67 85.2146475587
72 76.2587998193
89 71.0264565190
98 69.2841643435
104 50.8458245489
113 44.0367096001
117 26.6054953563
133 20.2516790145
143 84.4095962790
evaluations raw_y
1 307.6619313988
3 123.3057706252
20 100.5233500925
37 100.2296183952
39 87.4744856751
50 70.7672645068
88 63.6395513132
98 60.6531368768
125 45.2177267878
137 41.4608365084
143 27.2379419497
evaluations raw_y
1 307.6619313988
3 123.3057706252
39 72.5569511468
55 61.6517319214
63 46.2774455574
77 45.0972469939
90 40.0849805071
112 37.5675650093
124 16.5859626309
143 39.4038778486
evaluations raw_y
1 751.2521232939
2 360.8207667844
5 62.5243281138
51 57.7557941803
61 45.7916803468
127 37.9660091735
143 77.6518278479
evaluations raw_y
1 751.2521232939
2 360.8207667844
5 62.5243281138
80 41.0398771111
143 51.1741123827
evaluations raw_y
1 751.2521232939
2 360.8207667844
5 62.5243281138
83 57.2831039618
87 43.2457502889
94 33.6075761710
143 97.7409827420
evaluations raw_y
1 751.2521232939
2 360.8207667844
5 62.5243281138
66 58.2557395125
79 54.9318228379
121 44.1134167781
143 69.8968545568
evaluations raw_y
1 751.2521232939
2 360.8207667844
5 62.5243281138
83 49.9317608220
119 46.4255990806
133 45.8795206317
136 45.0497781215
143 58.8542805593
evaluations raw_y
1 1299.3186420078
2 321.1377015803
3 154.4705545864
4 136.7195055106
20 125.2380320904
33 93.6738494098
46 41.2331768305
119 29.6907082363
143 52.7540024721
evaluations raw_y
1 1299.3186420078
2 321.1377015803
3 154.4705545864
4 136.7195055106
16 133.0493560705
35 113.1774712626
39 74.9407667183
48 38.7497620630
107 36.1648120203
132 29.7677355066
143 65.8464567267
evaluations raw_y
1 1299.3186420078
2 321.1377015803
3 154.4705545864
4 136.7195055106
26 131.4533958031
27 54.1584570700
64 49.3437992476
70 40.8221412334
108 29.6778385340
135 21.1576224170
143 75.9533622111
evaluations raw_y
1 1299.3186420078
2 321.1377015803
3 154.4705545864
4 136.7195055106
21 118.0649653418
32 90.0482698683
41 72.0468321663
77 61.7961323668
96 50.9876574268
112 39.8232060745
143 73.8509731915
evaluations raw_y
1 1299.3186420078
2 321.1377015803
3 154.4705545864
4 136.7195055106
24 76.1417815270
61 73.3097385216
70 54.5540188382
106 51.0409823319
112 44.8708972944
126 36.7652016967
130 18.4928414490
143 77.9728731640
evaluations raw_y
1 814.7912536175
5 604.1230001490
8 228.0113395180
10 208.3370946945
16 105.6663024076
19 80.9903520782
29 61.6145329433
34 56.1254094771
51 34.8700106479
133 30.4641511093
143 33.8826782344
evaluations raw_y
1 814.7912536175
5 604.1230001490
8 228.0113395180
10 208.3370946945
25 130.6425122238
26 79.4241979156
33 71.3748248703
43 54.5206145130
51 50.3318499790
71 46.9234705133
89 31.5737058199
106 28.4435969516
117 25.6027988505
143 70.6864851531
evaluations raw_y
1 814.7912536175
5 604.1230001490
8 228.0113395180
10 208.3370946945
16 200.2965953524
20 110.3188212687
34 98.3145990552
58 51.2956440919
103 42.3836980997
143 58.9881441460
evaluations raw_y
1 814.7912536175
5 604.1230001490
8 228.0113395180
10 208.3370946945
17 129.4116113321
22 117.8824084369
31 98.1887273133
42 86.8240735399
58 86.3669735687
70 72.2432401885
75 71.5715806762
88 65.7355658896
98 50.3736154376
109 48.0501719246
128 37.7964883697
143 99.2030461754
evaluations raw_y
1 814.7912536175
5 604.1230001490
8 228.0113395180
10 208.3370946945
17 204.6524287182
36 146.0077171800
37 114.4917233618
43 49.4236937298
143 92.6370460128
evaluations raw_y
1 455.9404174309
2 273.0882747094
3 257.2467481936
4 177.0107306869
8 118.2151845885
12 90.9874192209
16 81.0402340327
21 68.8006535815
25 56.3539515532
34 53.2757942462
56 40.1769771987
85 36.3720514618
143 72.7457044969
evaluations raw_y
1 455.9404174309
2 273.0882747094
3 257.2467481936
4 177.0107306869
8 118.2151845885
12 90.9874192209
17 80.6449268536
18 70.7340474952
25 59.0812980035
41 39.6319204927
80 25.6747887403
143 36.1862105802
evaluations raw_y
1 455.9404174309
2 273.0882747094
3 257.2467481936
4 177.0107306869
8 118.2151845885
12 90.9874192209
18 86.0803192865
25 59.2976320422
33 55.8854211807
46 49.2850095889
48 46.2727757802
55 40.2299279074
59 34.1491061895
71 22.0563950455
114 17.0317723940
143 34.5523440002
evaluations raw_y
1 455.9404174309
2 273.0882747094
3 257.2467481936
4 177.0107306869
8 118.2151845885
12 90.9874192209
19 63.1301763967
31 62.3999656167
36 48.6448893028
58 35.3220229203
87 34.6102373496
96 10.9391494862
143 39.0962877458
evaluations raw_y
1 455.9404174309
2 273.0882747094
3 257.2467481936
4 177.0107306869
8 118.2151845885
12 90.9874192209
32 83.2115116463
37 61.6627895998
42 45.9248276114
75 43.9198347851
92 34.9881821931
106 32.4230853776
114 24.0438486598
132 19.8507696305
143 43.1625579504
evaluations raw_y
1 808.2487724586
2 346.1074807741
3 260.2545488811
