evaluations raw_y
1 2129.5888710792
29 814.3939743764
53 539.5610848621
54 463.0926967136
63 414.5846556198
64 290.8719000301
70 172.7183817239
80 19.4371900119
108 4.9605584136
144 89.5748837034
evaluations raw_y
1 5358.3132291102
2 5068.8745916341
6 2952.9464497434
9 1021.3452905133
10 639.2300998810
21 185.4286470077
31 126.4924954609
34 110.0033959081
51 74.1314533469
74 54.8778192170
90 37.9623915399
104 26.2369476763
108 23.6271701541
111 16.7366292323
132 15.4548029156
144 163.7212977346
evaluations raw_y
1 4696.9433263224
3 4601.2838634346
4 1507.8276055191
21 260.9505680369
45 247.0213328646
53 178.6580857381
63 94.2107207675
83 75.2051252436
88 64.0702440365
94 55.6643367646
127 48.3592143972
129 43.4972115250
140 30.0726997910
142 20.3979993566
144 60.3029718033
evaluations raw_y
1 149514.6820216948
2 37057.8459142286
3 5393.2564058916
4 3106.1970271093
6 1261.1805304823
8 834.5515648354
24 482.0155547008
31 266.9226146867
41 165.6174033821
49 37.3182688619
80 26.1298222726
97 23.0553967493
101 15.8647860839
106 9.6162588319
124 9.3394217340
136 7.1108657385
144 15.2112533181
evaluations raw_y
1 5143.6839619443
4 2438.8130383013
10 1926.8332171031
13 1803.8874810618
14 323.6967243808
18 260.5237677114
25 146.9684832579
31 116.0722172256
70 115.0670961738
73 42.8073635563
109 17.5010171951
111 12.3647629077
144 17.9596936206
evaluations raw_y
1 7245.6815185591
2 1787.8121594710
3 761.5906258469
21 203.8940822656
74 167.5977458017
76 113.6182349539
90 70.7522844049
109 52.0681297672
134 48.3295375479
135 30.4153524145
137 27.6349470895
140 11.5058908154
144 201.9201672274
evaluations raw_y
1 496404.0498607818
2 2383.1188524500
12 867.4613549312
18 48.3305536955
57 18.7494865149
99 16.7079911762
138 12.4494467742
144 26.3508659599
evaluations raw_y
1 1423.4715608129
7 320.0281187099
17 297.8670892880
30 178.3775405556
31 111.3168230157
52 33.3021186144
123 32.3674461535
143 27.5296133013
144 28.4000428425
evaluations raw_y
1 28498.1373365765
3 28444.2088757989
4 550.8358251158
14 377.4934045144
50 372.2012276374
59 235.9318944924
65 68.0188307872
73 43.5686313067
144 363.0872109436
evaluations raw_y
1 38039.6767581846
2 6490.6724252368
4 987.8829414837
18 202.3384141927
33 144.5339597083
39 41.2049029602
54 14.8883366162
95 12.7430624854
100 8.9627174897
105 6.2082812174
110 5.6603493069
138 4.1457220987
141 3.6858806630
144 23.8538873498
evaluations raw_y
1 4045.4394052261
3 3784.6185683278
4 1771.8954293711
6 1639.3655854645
36 1224.7613969889
38 845.9247688279
41 504.7459474460
45 370.7030399213
50 207.3694541132
53 151.8550686844
78 144.9447142222
86 137.8202632024
91 116.6319375315
102 111.7040603029
103 16.1827483485
144 100.7230445088
evaluations raw_y
1 9160.5640883360
6 6640.7144697259
7 4813.6702416108
8 1672.9134076019
10 968.2359913865
17 724.6675197582
26 478.9144698911
34 240.8081179650
54 191.5401532172
68 187.7070474568
76 37.7319160945
115 23.0168846837
119 18.6553799757
121 8.1025827322
144 11.5265165848
evaluations raw_y
1 6137.4380246305
2 1481.6211286190
6 335.6051405881
47 68.7771488909
73 53.7127251190
81 40.6354898388
99 28.1205505737
110 5.6930139721
142 5.6777582774
144 17.7934096762
evaluations raw_y
1 24024.6610018911
2 3071.1738185789
3 1686.2118556024
15 1634.9717751698
17 1010.1488146611
21 846.6899550470
56 761.7659893010
57 196.1597740913
111 97.3476373620
125 80.2010513570
133 38.3580321204
134 29.9126596541
138 22.0879098911
144 160.4261025145
evaluations raw_y
1 3661.6180918500
10 1603.0497292396
11 1034.6038268500
19 872.7053801986
21 859.1694234389
35 855.8067452884
36 618.2003462875
39 461.6210446976
41 281.6582137861
42 263.1580905205
63 236.5609091797
69 214.8391929661
77 201.5733676445
87 171.9596138775
88 29.0086811524
139 20.5055021085
140 7.7824555379
144 36.1483625477
evaluations raw_y
1 229796.2345526177
2 12292.7574109446
3 2729.5033455131
6 1537.7691256265
8 403.8188470138
20 390.0229895957
42 252.1146596503
50 86.5723188524
52 82.9790271814
64 57.3105580950
81 56.7687532235
85 37.2486730817
110 19.2596532876
121 9.2709868947
126 6.4455314447
144 34.7881781356
evaluations raw_y
1 19484.4053563457
3 12093.9893990883
4 30.3054175608
88 19.5522532586
127 13.4646949580
129 13.1289929773
130 9.2062496562
134 6.6914556529
144 26.1026585135
evaluations raw_y
1 26744.6696353502
2 17063.8161921760
3 6154.0060746278
4 391.3014477620
40 362.1698054428
52 331.8683009823
54 322.7484472374
57 171.7252635685
69 57.1573021600
89 51.0140623613
97 20.3757567282
126 18.1066300361
138 14.6672833191
139 10.4275478915
144 33.0295601013
evaluations raw_y
1 9347.3091165427
4 2245.1937478919
7 2223.3892233565
9 447.9369474033
20 222.3907676483
25 131.1642060296
82 33.8974728155
124 27.8577615189
144 614.4406330138
evaluations raw_y
1 9305.1146188988
2 3863.6407288932
5 612.5959673246
17 531.0636483018
24 138.5160006220
41 49.4656101573
72 30.5355162996
79 15.9019455558
87 12.1055851193
95 10.4485971521
97 9.9581042712
142 9.5572915764
144 16.7624212463
evaluations raw_y
1 1423.9992644671
10 560.0313924620
14 424.3037330505
15 142.4745285658
70 53.7079806210
87 36.4123792294
92 34.2709406487
95 11.0094900710
120 5.2827456970
144 8.3815518847
evaluations raw_y
1 30272.9281760506
2 1060.7274844521
9 275.5113429321
18 242.4935138171
38 105.0121376159
49 76.0107255369
53 51.3284100844
80 14.9129477499
112 8.9543127897
144 56.7980753249
evaluations raw_y
1 2306.8927404925
5 1848.3301748679
11 1169.8836709732
15 1158.7639806171
34 1061.0550448839
35 420.4439269388
38 214.8186863099
65 134.3011953631
93 53.7704480971
122 11.2112974864
144 93.7370183795
evaluations raw_y
1 30370.7159776978
2 3423.3631052078
5 124.6036926717
89 90.4013072735
98 81.6997900993
99 76.0139303698
100 75.9442995624
103 64.1237598363
105 63.6288951653
107 40.5980423969
121 20.5662212964
142 19.2076284088
144 168.9345068420
evaluations raw_y
1 16844.7375598618
4 3412.9052940248
8 818.2759648619
9 370.8745225768
17 227.9473929720
18 86.7045761482
55 77.1571533345
69 49.6567256350
78 44.2351898626
80 36.9412031981
94 31.0130875740
98 11.3352566921
132 7.8388334224
144 55.8766514996
evaluations raw_y
1 427.2503136713
27 276.3852051453
30 125.4279327872
36 35.5015432251
54 23.8592936235
124 16.6313358743
137 13.1883396161
141 10.1176737131
144 28.4342632277
evaluations raw_y
1 13845.9937830643
2 11180.4113306075
3 3260.4520145537
4 2850.4664597869
6 2327.7082320537
15 2052.2922946362
19 891.8545837678
46 276.6161935144
76 146.1730894521
83 73.6066481361
92 55.9260672376
94 48.2003051569
96 25.9735232326
113 12.0878836481
138 12.0482136832
139 10.6537729525
144 95.0935869792
evaluations raw_y
1 1033.1584688411
7 675.0660362345
8 587.0998471027
12 83.9865461492
53 47.8026890726
73 39.0148522581
95 30.4418666970
101 30.2258128800
110 12.9156606364
130 10.5922554381
131 7.0812666393
144 42.8760474544
evaluations raw_y
1 20457.8762813093
2 19966.5516810937
4 11032.5320610419
5 3745.9199732524
15 3239.6943023163
16 2361.8926205377
25 534.7251944196
37 266.3360515489
45 153.2014136796
63 139.3203218759
70 84.7988911932
75 26.0638396616
85 15.1812286033
136 14.8974447194
144 25.7718480372
evaluations raw_y
1 14154.8269353273
2 2398.3797228880
9 501.9723084374
20 434.4001799030
21 68.5094753696
85 20.9293601723
103 15.0189459422
110 12.8382922342
133 11.8023641407
137 6.8472680710
144 13.2922660045
evaluations raw_y
1 14738.2839654631
2 11671.6361683889
3 2619.1642544127
9 1058.0280060857
21 918.0374714651
22 503.0071013485
54 418.7945683355
57 300.2527609617
68 259.2010441091
71 126.2327779589
84 43.1469489886
137 23.4190996746
144 149.1894252930
evaluations raw_y
1 11677.0995271301
2 876.2803209124
6 678.6431182902
8 327.4815833356
32 227.2732059345
34 211.1887894632
36 120.7488860318
53 80.1618220886
65 41.4619676021
81 18.2980451169
93 14.1969191803
127 10.1652831342
131 8.7340257158
137 8.4555324412
142 5.2151409852
144 23.1082418912
evaluations raw_y
1 9164.6429561366
2 3903.9321421774
3 2162.4535302923
5 815.8845316272
11 624.9128189001
29 373.2370790455
43 113.9953257993
60 74.7461785277
69 43.8926031963
71 39.3768320934
78 33.8012563023
82 15.9251171825
114 5.2795515703
144 26.4760492097
evaluations raw_y
1 3425.0911804448
2 2477.6943153008
5 483.4715604350
18 453.4870500381
20 289.0155300973
33 206.0575305289
64 170.5023028735
115 146.5436871703
122 137.9440529262
144 124.6916362078
evaluations raw_y
1 6417.1113493227
3 2046.3757421669
11 769.0319914201
18 368.8414413661
34 234.3273472206
36 212.0486921201
42 41.7404253627
69 16.4876371530
121 13.6898788076
131 8.3629372410
136 5.9077427869
142 5.6167514066
144 12.8758029232
evaluations raw_y
1 14869.8330796190
3 11875.4656315880
4 633.9931089331
49 339.1597835502
52 194.2177551278
57 175.6239135588
73 100.2240349205
75 63.2654160352
100 35.4543782249
116 25.0219375508
129 24.2212235627
144 174.7864106268
evaluations raw_y
1 4823.1088831547
4 1952.6654987972
9 1409.0390682327
11 539.3449619818
20 281.1165297355
37 115.8873825490
43 91.8171963594
66 76.5755942041
84 76.3304036441
96 64.0994378054
114 43.5618301014
126 25.3463480043
132 19.9165944096
144 64.0835122946
evaluations raw_y
1 19967.2728999161
2 17466.7561624284
3 10945.3145772244
4 4395.4189231204
17 1912.2601756730
25 1378.7611839396
30 1269.3354732044
32 759.9314299027
35 259.4334371317
42 211.9100990195
45 207.4818805251
71 166.6433463640
75 160.6035195467
80 36.2594835542
81 34.0425004741
85 26.8441766370
140 23.4906285144
144 129.9720208688
evaluations raw_y
1 8919.5016061923
2 8031.6324547705
3 4962.9614142805
6 3095.4913784360
11 2380.0388019458
16 478.9253641390
48 198.6615673281
60 119.6101944619
75 93.7843667663
90 81.9275341591
102 34.4611303256
115 19.4237080194
144 28.8537586426
evaluations raw_y
1 28915.5169201995
2 12772.2672161152
3 1291.7173184141
4 834.6892811449
49 602.6486310953
74 470.1380146272
75 370.7684166428
76 359.2058695470
83 353.5043636795
