evaluations raw_y
1 8352919.0684401523
6 170895.1169304347
37 30599.8492832229
48 7249.1835543187
57 4915.1938036902
115 4742.5829479349
150 18908409.8759696968
evaluations raw_y
1 8352919.0684401523
6 170895.1169304347
37 30599.8492832229
48 7249.1835543187
57 4915.1938036902
115 4742.5829479349
150 18908409.8759696968
evaluations raw_y
1 8352919.0684401523
6 170895.1169304347
37 30599.8492832229
48 7249.1835543187
57 4915.1938036902
115 4742.5829479349
150 18908409.8759696968
evaluations raw_y
1 8352919.0684401523
6 170895.1169304347
37 30599.8492832229
48 7249.1835543187
57 4915.1938036902
115 4742.5829479349
150 18908409.8759696968
evaluations raw_y
1 8352919.0684401523
6 170895.1169304347
37 30599.8492832229
48 7249.1835543187
57 4915.1938036902
115 4742.5829479349
150 18908409.8759696968
evaluations raw_y
1 1916673.1100402910
2 328720.7582824411
18 313506.9736357015
48 150962.3498639478
56 117288.7157712230
76 81910.9577975669
83 3819.7507128733
146 3362.7420823087
147 1090.3183656218
150 75211.3811697256
evaluations raw_y
1 1916673.1100402910
2 328720.7582824411
18 313506.9736357015
48 150962.3498639478
56 117288.7157712230
76 81910.9577975669
83 3819.7507128733
146 3362.7420823087
147 1090.3183656218
150 75211.3811697256
evaluations raw_y
1 1916673.1100402910
2 328720.7582824411
18 313506.9736357015
48 150962.3498639478
56 117288.7157712230
76 81910.9577975669
83 3819.7507128733
146 3362.7420823087
147 1090.3183656218
150 75211.3811697256
evaluations raw_y
1 1916673.1100402910
2 328720.7582824411
18 313506.9736357015
48 150962.3498639478
56 117288.7157712230
76 81910.9577975669
83 3819.7507128733
146 3362.7420823087
147 1090.3183656218
150 75211.3811697256
evaluations raw_y
1 1916673.1100402910
2 328720.7582824411
18 313506.9736357015
48 150962.3498639478
56 117288.7157712230
76 81910.9577975669
83 3819.7507128733
146 3362.7420823087
147 1090.3183656218
150 75211.3811697256
evaluations raw_y
1 26394867.3571090251
2 9663175.8228183873
4 6473049.3313884595
6 682404.1120558551
12 113513.0447265271
72 103322.0260175122
73 77700.4294203997
77 21910.1223269602
92 8538.5931617139
150 48949.7144681169
evaluations raw_y
1 26394867.3571090251
2 9663175.8228183873
4 6473049.3313884595
6 682404.1120558551
12 113513.0447265271
72 103322.0260175122
73 77700.4294203997
77 21910.1223269602
92 8538.5931617139
150 48949.7144681169
evaluations raw_y
1 26394867.3571090251
2 9663175.8228183873
4 6473049.3313884595
6 682404.1120558551
12 113513.0447265271
72 103322.0260175122
73 77700.4294203997
77 21910.1223269602
92 8538.5931617139
150 48949.7144681169
evaluations raw_y
1 26394867.3571090251
2 9663175.8228183873
4 6473049.3313884595
6 682404.1120558551
12 113513.0447265271
72 103322.0260175122
73 77700.4294203997
77 21910.1223269602
92 8538.5931617139
150 48949.7144681169
evaluations raw_y
1 26394867.3571090251
2 9663175.8228183873
4 6473049.3313884595
6 682404.1120558551
12 113513.0447265271
72 103322.0260175122
73 77700.4294203997
77 21910.1223269602
92 8538.5931617139
150 48949.7144681169
evaluations raw_y
1 4627991.6979240486
6 353434.6782659722
14 103607.4319124560
32 42004.6582153878
93 23741.3032259155
150 1433665.9415544297
evaluations raw_y
1 4627991.6979240486
6 353434.6782659722
14 103607.4319124560
32 42004.6582153878
93 23741.3032259155
150 1433665.9415544297
evaluations raw_y
1 4627991.6979240486
6 353434.6782659722
14 103607.4319124560
32 42004.6582153878
93 23741.3032259155
150 1433665.9415544297
evaluations raw_y
1 4627991.6979240486
6 353434.6782659722
14 103607.4319124560
32 42004.6582153878
93 23741.3032259155
150 1433665.9415544297
evaluations raw_y
1 4627991.6979240486
6 353434.6782659722
14 103607.4319124560
32 42004.6582153878
93 23741.3032259155
150 1433665.9415544297
evaluations raw_y
1 5674729.9975828296
5 4700786.5477598896
9 3817760.5653870748
10 600477.2674467490
26 320645.9711138721
27 306626.9854103777
67 72514.0648964275
77 53383.4179591526
90 36453.3421738980
112 36182.1926980947
119 30491.7102644543
129 23267.4477387414
130 22601.2725158728
135 12702.1717719452
150 82849.6586898362
evaluations raw_y
1 5674729.9975828296
5 4700786.5477598896
9 3817760.5653870748
10 600477.2674467490
26 320645.9711138721
27 306626.9854103777
67 72514.0648964275
77 53383.4179591526
90 36453.3421738980
112 36182.1926980947
119 30491.7102644543
129 23267.4477387414
130 22601.2725158728
135 12702.1717719452
150 82849.6586898362
evaluations raw_y
1 5674729.9975828296
5 4700786.5477598896
9 3817760.5653870748
10 600477.2674467490
26 320645.9711138721
27 306626.9854103777
67 72514.0648964275
77 53383.4179591526
90 36453.3421738980
112 36182.1926980947
119 30491.7102644543
129 23267.4477387414
130 22601.2725158728
135 12702.1717719452
150 82849.6586898362
evaluations raw_y
1 5674729.9975828296
5 4700786.5477598896
9 3817760.5653870748
10 600477.2674467490
26 320645.9711138721
27 306626.9854103777
67 72514.0648964275
77 53383.4179591526
90 36453.3421738980
112 36182.1926980947
119 30491.7102644543
129 23267.4477387414
130 22601.2725158728
135 12702.1717719452
150 82849.6586898362
evaluations raw_y
1 5674729.9975828296
5 4700786.5477598896
9 3817760.5653870748
10 600477.2674467490
26 320645.9711138721
27 306626.9854103777
67 72514.0648964275
77 53383.4179591526
90 36453.3421738980
112 36182.1926980947
119 30491.7102644543
129 23267.4477387414
130 22601.2725158728
135 12702.1717719452
150 82849.6586898362
