evaluations raw_y
1 136097950.2756888568
2 16800540.6902478449
34 1132311.7369624274
47 1064303.0825829301
79 695079.3847947653
98 516228.0472434561
107 49918.1652835378
150 798956.1365100801
evaluations raw_y
1 136097950.2756888568
2 16800540.6902478449
34 1132311.7369624274
47 1064303.0825829301
79 695079.3847947653
98 516228.0472434561
107 49918.1652835378
150 798956.1365100801
evaluations raw_y
1 136097950.2756888568
2 16800540.6902478449
34 1132311.7369624274
47 1064303.0825829301
79 695079.3847947653
98 516228.0472434561
107 49918.1652835378
150 798956.1365100801
evaluations raw_y
1 136097950.2756888568
2 16800540.6902478449
34 1132311.7369624274
47 1064303.0825829301
79 695079.3847947653
98 516228.0472434561
107 49918.1652835378
150 798956.1365100801
evaluations raw_y
1 136097950.2756888568
2 16800540.6902478449
34 1132311.7369624274
47 1064303.0825829301
79 695079.3847947653
98 516228.0472434561
107 49918.1652835378
150 798956.1365100801
evaluations raw_y
1 33855135.3531912342
8 21603457.7792056389
27 10474568.7648854777
41 5823982.3723793328
47 3665930.7203902500
50 2992507.1330702016
55 567062.8075392242
110 418846.2769212362
142 242855.8994349823
149 154406.1198478453
150 195004.4293695567
evaluations raw_y
1 33855135.3531912342
8 21603457.7792056389
27 10474568.7648854777
41 5823982.3723793328
47 3665930.7203902500
50 2992507.1330702016
55 567062.8075392242
110 418846.2769212362
142 242855.8994349823
149 154406.1198478453
150 195004.4293695567
evaluations raw_y
1 33855135.3531912342
8 21603457.7792056389
27 10474568.7648854777
41 5823982.3723793328
47 3665930.7203902500
50 2992507.1330702016
55 567062.8075392242
110 418846.2769212362
142 242855.8994349823
149 154406.1198478453
150 195004.4293695567
evaluations raw_y
1 33855135.3531912342
8 21603457.7792056389
27 10474568.7648854777
41 5823982.3723793328
47 3665930.7203902500
50 2992507.1330702016
55 567062.8075392242
110 418846.2769212362
142 242855.8994349823
149 154406.1198478453
150 195004.4293695567
evaluations raw_y
1 33855135.3531912342
8 21603457.7792056389
27 10474568.7648854777
41 5823982.3723793328
47 3665930.7203902500
50 2992507.1330702016
55 567062.8075392242
110 418846.2769212362
142 242855.8994349823
149 154406.1198478453
150 195004.4293695567
evaluations raw_y
1 8667442093.6041584015
2 188073885.5372673273
3 62259258.7276089191
14 7157645.1983073130
53 4726505.0082347523
54 2958734.7891944181
55 1396231.5606059993
59 1164351.2593165648
60 474941.1278499604
97 341998.4278733266
98 217232.5656456653
99 165221.1066228946
100 139552.0393853063
127 136674.6872799329
150 41900587.0883208215
evaluations raw_y
1 8667442093.6041584015
2 188073885.5372673273
3 62259258.7276089191
14 7157645.1983073130
53 4726505.0082347523
54 2958734.7891944181
55 1396231.5606059993
59 1164351.2593165648
60 474941.1278499604
97 341998.4278733266
98 217232.5656456653
99 165221.1066228946
100 139552.0393853063
127 136674.6872799329
150 41900587.0883208215
evaluations raw_y
1 8667442093.6041584015
2 188073885.5372673273
3 62259258.7276089191
14 7157645.1983073130
53 4726505.0082347523
54 2958734.7891944181
55 1396231.5606059993
59 1164351.2593165648
60 474941.1278499604
97 341998.4278733266
98 217232.5656456653
99 165221.1066228946
100 139552.0393853063
