evaluations raw_y
1 2767.1625804376
2 736.1054417379
3 678.3590225762
8 425.4228742062
31 328.6635585323
59 231.2337515125
60 210.3584381272
62 169.2096745883
88 164.0693517955
89 150.6928313138
117 138.4896577889
122 126.4111134664
131 104.9442298923
138 41.0690982420
150 156.9653872083
evaluations raw_y
1 2767.1625804376
2 736.1054417379
3 678.3590225762
8 425.4228742062
31 328.6635585323
59 231.2337515125
60 210.3584381272
62 169.2096745883
88 164.0693517955
89 150.6928313138
117 138.4896577889
122 126.4111134664
131 104.9442298923
138 41.0690982420
150 156.9653872083
evaluations raw_y
1 2767.1625804376
2 736.1054417379
3 678.3590225762
8 425.4228742062
31 328.6635585323
59 231.2337515125
60 210.3584381272
62 169.2096745883
88 164.0693517955
89 150.6928313138
117 138.4896577889
122 126.4111134664
131 104.9442298923
138 41.0690982420
150 156.9653872083
evaluations raw_y
1 2767.1625804376
2 736.1054417379
3 678.3590225762
8 425.4228742062
31 328.6635585323
59 231.2337515125
60 210.3584381272
62 169.2096745883
88 164.0693517955
89 150.6928313138
117 138.4896577889
122 126.4111134664
131 104.9442298923
138 41.0690982420
150 156.9653872083
evaluations raw_y
1 2767.1625804376
2 736.1054417379
3 678.3590225762
8 425.4228742062
31 328.6635585323
59 231.2337515125
60 210.3584381272
62 169.2096745883
88 164.0693517955
89 150.6928313138
117 138.4896577889
122 126.4111134664
131 104.9442298923
138 41.0690982420
150 156.9653872083
evaluations raw_y
1 1640.7316522130
3 1002.6628859095
14 973.7891388875
26 500.1221738899
27 382.4730970898
34 219.6187200728
37 137.6642911907
87 85.7455161988
97 82.8692107441
98 65.5929258176
150 1037.3194158880
evaluations raw_y
1 1640.7316522130
3 1002.6628859095
14 973.7891388875
26 500.1221738899
27 382.4730970898
34 219.6187200728
37 137.6642911907
87 85.7455161988
97 82.8692107441
98 65.5929258176
150 1037.3194158880
evaluations raw_y
1 1640.7316522130
3 1002.6628859095
14 973.7891388875
26 500.1221738899
27 382.4730970898
34 219.6187200728
37 137.6642911907
87 85.7455161988
97 82.8692107441
98 65.5929258176
150 1037.3194158880
evaluations raw_y
1 1640.7316522130
3 1002.6628859095
14 973.7891388875
26 500.1221738899
27 382.4730970898
34 219.6187200728
37 137.6642911907
87 85.7455161988
97 82.8692107441
98 65.5929258176
150 1037.3194158880
evaluations raw_y
1 1640.7316522130
3 1002.6628859095
14 973.7891388875
26 500.1221738899
27 382.4730970898
34 219.6187200728
37 137.6642911907
87 85.7455161988
97 82.8692107441
98 65.5929258176
150 1037.3194158880
evaluations raw_y
1 3325.2820259030
2 2327.1870547311
3 2298.3248175555
4 2106.0057266316
5 1887.6987945147
11 1511.1517916716
15 1167.9610374911
17 618.4327117086
32 544.6523032577
40 409.1128051903
51 379.9670509020
57 341.0017269131
61 272.2092228791
87 167.3914325926
91 134.7548787660
93 112.3156439333
137 109.8345183921
143 84.4958301272
150 128.2793122822
evaluations raw_y
1 3325.2820259030
2 2327.1870547311
3 2298.3248175555
4 2106.0057266316
5 1887.6987945147
11 1511.1517916716
15 1167.9610374911
17 618.4327117086
32 544.6523032577
40 409.1128051903
51 379.9670509020
57 341.0017269131
61 272.2092228791
