evaluations raw_y
1 583.5132992640
2 28.4317724511
4 8.6090966813
18 8.5613559350
19 6.7902451170
28 3.3640922952
42 3.1386289663
60 0.7884789298
88 0.5008010238
89 0.4146822074
140 0.3333968630
141 0.2126798283
150 1.2123710324
evaluations raw_y
1 583.5132992640
2 28.4317724511
4 8.6090966813
18 8.5613559350
19 6.7902451170
28 3.3640922952
42 3.1386289663
60 0.7884789298
88 0.5008010238
89 0.4146822074
140 0.3333968630
141 0.2126798283
150 1.2123710324
evaluations raw_y
1 583.5132992640
2 28.4317724511
4 8.6090966813
18 8.5613559350
19 6.7902451170
28 3.3640922952
42 3.1386289663
60 0.7884789298
88 0.5008010238
89 0.4146822074
140 0.3333968630
141 0.2126798283
150 1.2123710324
evaluations raw_y
1 583.5132992640
2 28.4317724511
4 8.6090966813
18 8.5613559350
19 6.7902451170
28 3.3640922952
42 3.1386289663
60 0.7884789298
88 0.5008010238
89 0.4146822074
140 0.3333968630
141 0.2126798283
150 1.2123710324
evaluations raw_y
1 583.5132992640
2 28.4317724511
4 8.6090966813
18 8.5613559350
19 6.7902451170
28 3.3640922952
42 3.1386289663
60 0.7884789298
88 0.5008010238
89 0.4146822074
140 0.3333968630
141 0.2126798283
150 1.2123710324
evaluations raw_y
1 12.8762003144
22 10.9240271151
27 4.9489920299
28 1.8795650074
32 1.4910613202
39 1.3925872786
48 1.2255477453
59 1.1900096307
60 0.9838624195
89 0.6457877426
128 0.4878838588
150 0.4087114846
evaluations raw_y
1 12.8762003144
22 10.9240271151
27 4.9489920299
28 1.8795650074
32 1.4910613202
39 1.3925872786
48 1.2255477453
59 1.1900096307
60 0.9838624195
89 0.6457877426
128 0.4878838588
150 0.4087114846
evaluations raw_y
1 12.8762003144
22 10.9240271151
27 4.9489920299
28 1.8795650074
32 1.4910613202
39 1.3925872786
48 1.2255477453
59 1.1900096307
60 0.9838624195
89 0.6457877426
128 0.4878838588
150 0.4087114846
evaluations raw_y
1 12.8762003144
22 10.9240271151
27 4.9489920299
28 1.8795650074
32 1.4910613202
39 1.3925872786
48 1.2255477453
59 1.1900096307
60 0.9838624195
89 0.6457877426
128 0.4878838588
150 0.4087114846
evaluations raw_y
1 12.8762003144
22 10.9240271151
27 4.9489920299
28 1.8795650074
32 1.4910613202
39 1.3925872786
48 1.2255477453
59 1.1900096307
60 0.9838624195
89 0.6457877426
128 0.4878838588
150 0.4087114846
evaluations raw_y
1 50.3510580608
2 14.2341411904
9 8.9233207139
14 8.2441042787
20 7.0608714012
27 6.8590113282
34 1.5622499804
81 0.9836420453
82 0.5840066638
143 0.5209901459
150 1.2390569079
evaluations raw_y
1 50.3510580608
2 14.2341411904
9 8.9233207139
14 8.2441042787
20 7.0608714012
27 6.8590113282
34 1.5622499804
81 0.9836420453
82 0.5840066638
143 0.5209901459
150 1.2390569079
evaluations raw_y
