evaluations raw_y
1 502.6258355241
5 248.8427417244
14 199.8790371646
27 96.7337825050
37 92.8186901709
41 69.3989473157
50 34.1128836435
136 31.4736327343
150 69.2741028033
evaluations raw_y
1 502.6258355241
5 248.8427417244
14 199.8790371646
27 96.7337825050
37 92.8186901709
41 69.3989473157
50 34.1128836435
136 31.4736327343
150 69.2741028033
evaluations raw_y
1 502.6258355241
5 248.8427417244
14 199.8790371646
27 96.7337825050
37 92.8186901709
41 69.3989473157
50 34.1128836435
136 31.4736327343
150 69.2741028033
evaluations raw_y
1 502.6258355241
5 248.8427417244
14 199.8790371646
27 96.7337825050
37 92.8186901709
41 69.3989473157
50 34.1128836435
136 31.4736327343
150 69.2741028033
evaluations raw_y
1 502.6258355241
5 248.8427417244
14 199.8790371646
27 96.7337825050
37 92.8186901709
41 69.3989473157
50 34.1128836435
136 31.4736327343
150 69.2741028033
evaluations raw_y
1 309.9210984497
2 154.8517315531
5 135.6482471985
10 91.0821248807
29 89.9618353035
37 81.1745466615
51 69.0617647456
77 52.8163209570
112 42.4064019695
145 40.8353885770
150 68.7480616799
evaluations raw_y
1 309.9210984497
2 154.8517315531
5 135.6482471985
10 91.0821248807
29 89.9618353035
37 81.1745466615
51 69.0617647456
77 52.8163209570
112 42.4064019695
145 40.8353885770
150 68.7480616799
evaluations raw_y
1 309.9210984497
2 154.8517315531
5 135.6482471985
10 91.0821248807
29 89.9618353035
37 81.1745466615
51 69.0617647456
77 52.8163209570
112 42.4064019695
145 40.8353885770
150 68.7480616799
evaluations raw_y
1 309.9210984497
2 154.8517315531
5 135.6482471985
10 91.0821248807
29 89.9618353035
37 81.1745466615
51 69.0617647456
77 52.8163209570
112 42.4064019695
145 40.8353885770
150 68.7480616799
evaluations raw_y
1 309.9210984497
2 154.8517315531
5 135.6482471985
10 91.0821248807
29 89.9618353035
37 81.1745466615
51 69.0617647456
77 52.8163209570
112 42.4064019695
145 40.8353885770
150 68.7480616799
evaluations raw_y
1 73.4182572459
59 72.2388031805
61 71.5380100706
65 60.8515268587
77 54.1546245411
80 50.4662693631
94 33.5952205061
106 30.0119024507
150 65.9747778963
evaluations raw_y
1 73.4182572459
59 72.2388031805
61 71.5380100706
65 60.8515268587
77 54.1546245411
80 50.4662693631
94 33.5952205061
106 30.0119024507
150 65.9747778963
evaluations raw_y
1 73.4182572459
59 72.2388031805
61 71.5380100706
65 60.8515268587
77 54.1546245411
80 50.4662693631
94 33.5952205061
106 30.0119024507
150 65.9747778963
evaluations raw_y
1 73.4182572459
59 72.2388031805
61 71.5380100706
65 60.8515268587
77 54.1546245411
80 50.4662693631
94 33.5952205061
106 30.0119024507
150 65.9747778963
evaluations raw_y
1 73.4182572459
59 72.2388031805
61 71.5380100706
65 60.8515268587
77 54.1546245411
80 50.4662693631
94 33.5952205061
106 30.0119024507
150 65.9747778963
evaluations raw_y
1 253.8130351175
5 246.2137215524
9 68.0168630028
19 63.1871682587
39 58.7521062641
67 54.7230893507
96 46.8026152605
100 46.1243020478
119 38.6795662117
150 142.7103128425
evaluations raw_y
1 253.8130351175
5 246.2137215524
9 68.0168630028
19 63.1871682587
39 58.7521062641
67 54.7230893507
96 46.8026152605
100 46.1243020478
119 38.6795662117
150 142.7103128425
evaluations raw_y
1 253.8130351175
5 246.2137215524
9 68.0168630028
19 63.1871682587
39 58.7521062641
67 54.7230893507
96 46.8026152605
100 46.1243020478
119 38.6795662117
150 142.7103128425
evaluations raw_y
1 253.8130351175
5 246.2137215524
9 68.0168630028
19 63.1871682587
39 58.7521062641
67 54.7230893507
96 46.8026152605
100 46.1243020478
119 38.6795662117
150 142.7103128425
evaluations raw_y
1 253.8130351175
5 246.2137215524
9 68.0168630028
19 63.1871682587
39 58.7521062641
67 54.7230893507
96 46.8026152605
100 46.1243020478
119 38.6795662117
150 142.7103128425
evaluations raw_y
1 210.6013129739
2 173.5862936288
3 135.0424504129
11 118.2875364625
29 100.3250696468
30 90.5403908106
37 82.0309336877
42 77.2195648622
43 66.6799433457
44 49.8642645135
89 40.1730050893
117 34.7302655806
150 107.5001838904
evaluations raw_y
1 210.6013129739
2 173.5862936288
3 135.0424504129
11 118.2875364625
29 100.3250696468
30 90.5403908106
37 82.0309336877
42 77.2195648622
43 66.6799433457
44 49.8642645135
89 40.1730050893
117 34.7302655806
150 107.5001838904
evaluations raw_y
1 210.6013129739
2 173.5862936288
3 135.0424504129
11 118.2875364625
29 100.3250696468
30 90.5403908106
37 82.0309336877
42 77.2195648622
43 66.6799433457
44 49.8642645135
89 40.1730050893
117 34.7302655806
150 107.5001838904
evaluations raw_y
1 210.6013129739
2 173.5862936288
3 135.0424504129
11 118.2875364625
29 100.3250696468
30 90.5403908106
37 82.0309336877
42 77.2195648622
43 66.6799433457
44 49.8642645135
89 40.1730050893
117 34.7302655806
150 107.5001838904
evaluations raw_y
1 210.6013129739
2 173.5862936288
3 135.0424504129
11 118.2875364625
29 100.3250696468
30 90.5403908106
37 82.0309336877
42 77.2195648622
43 66.6799433457
44 49.8642645135
89 40.1730050893
117 34.7302655806
150 107.5001838904
evaluations raw_y
1 557.3706513169
2 474.1094535162
7 451.6719174538
10 371.8916482570
14 165.7472038971
28 148.4815281007
33 99.4153278098
39 84.7064502604
42 84.3853681163
47 77.6096772415
48 76.6774823334
57 44.9381979803
78 39.7854171734
106 39.6357752077
113 36.0351523293
142 32.6773195956
147 29.9125666553
150 81.9297492667
evaluations raw_y
1 557.3706513169
2 474.1094535162
7 451.6719174538
10 371.8916482570
14 165.7472038971
28 148.4815281007
33 99.4153278098
39 84.7064502604
42 84.3853681163
47 77.6096772415
48 76.6774823334
57 44.9381979803
78 39.7854171734
106 39.6357752077
113 36.0351523293
142 32.6773195956
147 29.9125666553
150 81.9297492667
evaluations raw_y
1 557.3706513169
2 474.1094535162
7 451.6719174538
10 371.8916482570
14 165.7472038971
28 148.4815281007
33 99.4153278098
39 84.7064502604
42 84.3853681163
47 77.6096772415
48 76.6774823334
57 44.9381979803
78 39.7854171734
106 39.6357752077
113 36.0351523293
142 32.6773195956
147 29.9125666553
150 81.9297492667
evaluations raw_y
1 557.3706513169
2 474.1094535162
7 451.6719174538
10 371.8916482570
14 165.7472038971
28 148.4815281007
33 99.4153278098
39 84.7064502604
42 84.3853681163
47 77.6096772415
48 76.6774823334
57 44.9381979803
78 39.7854171734
106 39.6357752077
113 36.0351523293
142 32.6773195956
147 29.9125666553
150 81.9297492667
evaluations raw_y
1 557.3706513169
2 474.1094535162
7 451.6719174538
10 371.8916482570
14 165.7472038971
28 148.4815281007
33 99.4153278098
39 84.7064502604
42 84.3853681163
47 77.6096772415
48 76.6774823334
57 44.9381979803
78 39.7854171734
106 39.6357752077
113 36.0351523293
142 32.6773195956
147 29.9125666553
150 81.9297492667
evaluations raw_y
1 1600.7213990902
2 288.0956843183
4 65.4370348247
59 59.6619248965
69 56.0735744320
76 39.2657240852
118 31.0037545221
130 28.7621089143
138 27.1331293793
150 40.9586132539
evaluations raw_y
1 1600.7213990902
2 288.0956843183
4 65.4370348247
59 59.6619248965
69 56.0735744320
76 39.2657240852
118 31.0037545221
130 28.7621089143
138 27.1331293793
150 40.9586132539
evaluations raw_y
1 1600.7213990902
2 288.0956843183
4 65.4370348247
59 59.6619248965
69 56.0735744320
76 39.2657240852
118 31.0037545221
130 28.7621089143
138 27.1331293793
150 40.9586132539
evaluations raw_y
1 1600.7213990902
2 288.0956843183
4 65.4370348247
59 59.6619248965
69 56.0735744320
76 39.2657240852
118 31.0037545221
130 28.7621089143
138 27.1331293793
150 40.9586132539
evaluations raw_y
1 1600.7213990902
2 288.0956843183
4 65.4370348247
59 59.6619248965
69 56.0735744320
76 39.2657240852
118 31.0037545221
130 28.7621089143
138 27.1331293793
150 40.9586132539
evaluations raw_y
1 1395.0588967643
2 139.7134234807
27 78.8208551554
32 60.2185356025
51 59.5450090047
62 53.6829108839
75 40.2610999774
98 37.0752860900
112 15.3414464873
150 221.3503539229
evaluations raw_y
1 1395.0588967643
2 139.7134234807
27 78.8208551554
32 60.2185356025
51 59.5450090047
62 53.6829108839
75 40.2610999774
98 37.0752860900
112 15.3414464873
150 221.3503539229
evaluations raw_y
1 1395.0588967643
2 139.7134234807
27 78.8208551554
32 60.2185356025
51 59.5450090047
62 53.6829108839
75 40.2610999774
98 37.0752860900
112 15.3414464873
150 221.3503539229
evaluations raw_y
1 1395.0588967643
2 139.7134234807
27 78.8208551554
32 60.2185356025
51 59.5450090047
62 53.6829108839
75 40.2610999774
98 37.0752860900
112 15.3414464873
150 221.3503539229
evaluations raw_y
1 1395.0588967643
2 139.7134234807
27 78.8208551554
32 60.2185356025
51 59.5450090047
62 53.6829108839
75 40.2610999774
98 37.0752860900
112 15.3414464873
150 221.3503539229
evaluations raw_y
1 245.5913197314
7 135.4453495489
13 46.8399066121
137 46.6135320002
150 98.7893370759
evaluations raw_y
1 245.5913197314
7 135.4453495489
13 46.8399066121
137 46.6135320002
150 98.7893370759
evaluations raw_y
1 245.5913197314
7 135.4453495489
13 46.8399066121
137 46.6135320002
150 98.7893370759
evaluations raw_y
1 245.5913197314
7 135.4453495489
13 46.8399066121
137 46.6135320002
150 98.7893370759
evaluations raw_y
1 245.5913197314
7 135.4453495489
13 46.8399066121
137 46.6135320002
150 98.7893370759
evaluations raw_y
1 380.1298418643
2 272.7255836044
3 191.2504555499
4 162.6369239368
8 130.1026822203
19 112.0819970288
27 104.7514352678
42 34.9094847581
150 70.6313513084
evaluations raw_y
1 380.1298418643
2 272.7255836044
3 191.2504555499
4 162.6369239368
8 130.1026822203
19 112.0819970288
27 104.7514352678
42 34.9094847581
150 70.6313513084
evaluations raw_y
1 380.1298418643
2 272.7255836044
3 191.2504555499
4 162.6369239368
8 130.1026822203
19 112.0819970288
27 104.7514352678
42 34.9094847581
150 70.6313513084
evaluations raw_y
1 380.1298418643
2 272.7255836044
3 191.2504555499
4 162.6369239368
8 130.1026822203
19 112.0819970288
27 104.7514352678
42 34.9094847581
150 70.6313513084
evaluations raw_y
1 380.1298418643
2 272.7255836044
3 191.2504555499
4 162.6369239368
8 130.1026822203
19 112.0819970288
27 104.7514352678
42 34.9094847581
150 70.6313513084
evaluations raw_y
1 4197.3401690254
2 1196.7052270887
3 772.3842563080
6 269.4840096313
7 143.3986171111
12 124.0483310923
34 106.7982044674
37 34.2128439573
90 28.4928435423
91 23.2959302415
150 125.4305119902
evaluations raw_y
1 4197.3401690254
2 1196.7052270887
3 772.3842563080
6 269.4840096313
7 143.3986171111
12 124.0483310923
34 106.7982044674
37 34.2128439573
90 28.4928435423
91 23.2959302415
150 125.4305119902
evaluations raw_y
1 4197.3401690254
2 1196.7052270887
3 772.3842563080
6 269.4840096313
7 143.3986171111
12 124.0483310923
34 106.7982044674
37 34.2128439573
90 28.4928435423
91 23.2959302415
150 125.4305119902
evaluations raw_y
1 4197.3401690254
2 1196.7052270887
3 772.3842563080
6 269.4840096313
7 143.3986171111
12 124.0483310923
34 106.7982044674
37 34.2128439573
90 28.4928435423
91 23.2959302415
150 125.4305119902
evaluations raw_y
1 4197.3401690254
2 1196.7052270887
3 772.3842563080
6 269.4840096313
7 143.3986171111
12 124.0483310923
34 106.7982044674
37 34.2128439573
90 28.4928435423
91 23.2959302415
150 125.4305119902
evaluations raw_y
1 1151.5054802889
3 248.2333711703
11 221.4043536961
12 172.0531669770
19 134.2149999986
24 68.0079890133
42 66.1600267451
50 64.9519965626
65 58.7575204057
86 51.7032602217
94 39.4940791533
112 32.4181637224
150 63.4813728185
evaluations raw_y
1 1151.5054802889
3 248.2333711703
11 221.4043536961
12 172.0531669770
19 134.2149999986
24 68.0079890133
42 66.1600267451
50 64.9519965626
65 58.7575204057
86 51.7032602217
94 39.4940791533
112 32.4181637224
150 63.4813728185
evaluations raw_y
1 1151.5054802889
3 248.2333711703
11 221.4043536961
12 172.0531669770
19 134.2149999986
24 68.0079890133
42 66.1600267451
50 64.9519965626
65 58.7575204057
86 51.7032602217
94 39.4940791533
112 32.4181637224
150 63.4813728185
evaluations raw_y
1 1151.5054802889
3 248.2333711703
11 221.4043536961
12 172.0531669770
19 134.2149999986
24 68.0079890133
42 66.1600267451
50 64.9519965626
65 58.7575204057
86 51.7032602217
94 39.4940791533
112 32.4181637224
150 63.4813728185
evaluations raw_y
1 1151.5054802889
3 248.2333711703
11 221.4043536961
12 172.0531669770
19 134.2149999986
24 68.0079890133
42 66.1600267451
50 64.9519965626
65 58.7575204057
86 51.7032602217
94 39.4940791533
112 32.4181637224
150 63.4813728185
evaluations raw_y
1 533.9644425615
4 349.1913931881
5 171.6352498570
7 98.5466871829
8 89.7443756542
39 58.7805679735
68 56.9350168994
82 25.7351057518
150 582.6569954631
evaluations raw_y
1 533.9644425615
4 349.1913931881
5 171.6352498570
7 98.5466871829
8 89.7443756542
39 58.7805679735
68 56.9350168994
82 25.7351057518
150 582.6569954631
evaluations raw_y
1 533.9644425615
4 349.1913931881
5 171.6352498570
7 98.5466871829
8 89.7443756542
39 58.7805679735
68 56.9350168994
82 25.7351057518
150 582.6569954631
evaluations raw_y
1 533.9644425615
4 349.1913931881
5 171.6352498570
7 98.5466871829
8 89.7443756542
39 58.7805679735
68 56.9350168994
82 25.7351057518
150 582.6569954631
evaluations raw_y
1 533.9644425615
4 349.1913931881
5 171.6352498570
7 98.5466871829
8 89.7443756542
39 58.7805679735
68 56.9350168994
82 25.7351057518
150 582.6569954631
evaluations raw_y
1 363.3210245345
2 354.0156383979
3 269.9693400261
5 147.6238408420
6 84.1523090313
41 53.7943935645
52 39.8819286792
96 33.5761754919
119 32.4153936185
150 76.2643595127
evaluations raw_y
1 363.3210245345
2 354.0156383979
3 269.9693400261
5 147.6238408420
6 84.1523090313
41 53.7943935645
52 39.8819286792
96 33.5761754919
119 32.4153936185
150 76.2643595127
evaluations raw_y
1 363.3210245345
2 354.0156383979
3 269.9693400261
5 147.6238408420
6 84.1523090313
41 53.7943935645
52 39.8819286792
96 33.5761754919
119 32.4153936185
150 76.2643595127
evaluations raw_y
1 363.3210245345
2 354.0156383979
3 269.9693400261
5 147.6238408420
6 84.1523090313
41 53.7943935645
52 39.8819286792
96 33.5761754919
119 32.4153936185
150 76.2643595127
evaluations raw_y
1 363.3210245345
2 354.0156383979
3 269.9693400261
5 147.6238408420
6 84.1523090313
41 53.7943935645
52 39.8819286792
96 33.5761754919
119 32.4153936185
150 76.2643595127
