evaluations raw_y
1 173889.2031362297
2 61888.0347250176
3 20020.4501633807
5 15154.8008427570
14 3104.0455362437
34 574.5274963378
44 133.5175427350
45 65.0041827408
46 10.7870980943
47 10.6695490566
62 4.6222002155
88 3.3901515552
97 3.3671759767
102 2.8018709090
107 2.7817857348
150 5.8579421789
evaluations raw_y
1 173889.2031362297
2 61888.0347250176
3 20020.4501633807
5 15154.8008427570
14 3104.0455362437
34 574.5274963378
44 133.5175427350
45 65.0041827408
46 10.7870980943
47 10.6695490566
62 4.6222002155
88 3.3901515552
97 3.3671759767
102 2.8018709090
107 2.7817857348
150 5.8579421789
evaluations raw_y
1 173889.2031362297
2 61888.0347250176
3 20020.4501633807
5 15154.8008427570
14 3104.0455362437
34 574.5274963378
44 133.5175427350
45 65.0041827408
46 10.7870980943
47 10.6695490566
62 4.6222002155
88 3.3901515552
97 3.3671759767
102 2.8018709090
107 2.7817857348
150 5.8579421789
evaluations raw_y
1 173889.2031362297
2 61888.0347250176
3 20020.4501633807
5 15154.8008427570
14 3104.0455362437
34 574.5274963378
44 133.5175427350
45 65.0041827408
46 10.7870980943
47 10.6695490566
62 4.6222002155
88 3.3901515552
97 3.3671759767
102 2.8018709090
107 2.7817857348
150 5.8579421789
evaluations raw_y
1 173889.2031362297
2 61888.0347250176
3 20020.4501633807
5 15154.8008427570
14 3104.0455362437
34 574.5274963378
44 133.5175427350
45 65.0041827408
46 10.7870980943
47 10.6695490566
62 4.6222002155
88 3.3901515552
97 3.3671759767
102 2.8018709090
107 2.7817857348
150 5.8579421789
evaluations raw_y
1 359.7817392467
39 2.7747986501
150 833.0661845733
evaluations raw_y
1 359.7817392467
39 2.7747986501
150 833.0661845733
evaluations raw_y
1 359.7817392467
39 2.7747986501
150 833.0661845733
evaluations raw_y
1 359.7817392467
39 2.7747986501
150 833.0661845733
evaluations raw_y
1 359.7817392467
39 2.7747986501
150 833.0661845733
evaluations raw_y
1 20766.1367017028
2 9366.9350898587
7 8320.2413282155
17 5683.1332857228
28 5415.4358620075
29 2210.6505166756
33 836.3891821743
57 15.6131728118
75 5.0586809331
83 2.8324126191
150 4.1890503657
evaluations raw_y
1 20766.1367017028
2 9366.9350898587
7 8320.2413282155
17 5683.1332857228
28 5415.4358620075
29 2210.6505166756
33 836.3891821743
57 15.6131728118
75 5.0586809331
83 2.8324126191
150 4.1890503657
evaluations raw_y
1 20766.1367017028
2 9366.9350898587
7 8320.2413282155
17 5683.1332857228
28 5415.4358620075
29 2210.6505166756
33 836.3891821743
57 15.6131728118
75 5.0586809331
83 2.8324126191
150 4.1890503657
evaluations raw_y
1 20766.1367017028
2 9366.9350898587
7 8320.2413282155
17 5683.1332857228
28 5415.4358620075
29 2210.6505166756
33 836.3891821743
57 15.6131728118
75 5.0586809331
83 2.8324126191
150 4.1890503657
evaluations raw_y
1 20766.1367017028
2 9366.9350898587
7 8320.2413282155
17 5683.1332857228
28 5415.4358620075
29 2210.6505166756
33 836.3891821743
57 15.6131728118
75 5.0586809331
83 2.8324126191
150 4.1890503657
evaluations raw_y
1 125153.8471921082
2 19258.9041592261
3 9160.7682926524
11 6047.6873293564
19 191.6996325076
37 13.3504047564
58 4.1100591788
86 3.7164543004
104 3.7096440123
112 3.0399953894
142 2.9128428491
150 3.9093585408
evaluations raw_y
1 125153.8471921082
2 19258.9041592261
3 9160.7682926524
11 6047.6873293564
19 191.6996325076
37 13.3504047564
58 4.1100591788
86 3.7164543004
104 3.7096440123
112 3.0399953894
