evaluations raw_y
1 73.4963069831
2 65.3862644800
5 56.0201365765
6 35.0413361359
7 14.7437728025
33 12.2244845433
72 5.1013202025
101 3.7341112335
108 3.3716539761
149 2.1717236563
150 3.9872024305
evaluations raw_y
1 73.4963069831
2 65.3862644800
5 56.0201365765
6 35.0413361359
7 14.7437728025
33 12.2244845433
72 5.1013202025
101 3.7341112335
108 3.3716539761
149 2.1717236563
150 3.9872024305
evaluations raw_y
1 73.4963069831
2 65.3862644800
5 56.0201365765
6 35.0413361359
7 14.7437728025
33 12.2244845433
72 5.1013202025
101 3.7341112335
108 3.3716539761
149 2.1717236563
150 3.9872024305
evaluations raw_y
1 73.4963069831
2 65.3862644800
5 56.0201365765
6 35.0413361359
7 14.7437728025
33 12.2244845433
72 5.1013202025
101 3.7341112335
108 3.3716539761
149 2.1717236563
150 3.9872024305
evaluations raw_y
1 73.4963069831
2 65.3862644800
5 56.0201365765
6 35.0413361359
7 14.7437728025
33 12.2244845433
72 5.1013202025
101 3.7341112335
108 3.3716539761
149 2.1717236563
150 3.9872024305
evaluations raw_y
1 39.0936418286
5 35.4029460074
18 29.1321758545
37 20.7978129090
46 10.8085263878
55 7.7169000454
116 7.3719298302
125 7.3554700389
150 66.8731927960
evaluations raw_y
1 39.0936418286
5 35.4029460074
18 29.1321758545
37 20.7978129090
46 10.8085263878
55 7.7169000454
116 7.3719298302
125 7.3554700389
150 66.8731927960
evaluations raw_y
1 39.0936418286
5 35.4029460074
18 29.1321758545
37 20.7978129090
46 10.8085263878
55 7.7169000454
116 7.3719298302
125 7.3554700389
150 66.8731927960
evaluations raw_y
1 39.0936418286
5 35.4029460074
18 29.1321758545
37 20.7978129090
46 10.8085263878
55 7.7169000454
116 7.3719298302
125 7.3554700389
150 66.8731927960
evaluations raw_y
1 39.0936418286
5 35.4029460074
18 29.1321758545
37 20.7978129090
46 10.8085263878
55 7.7169000454
116 7.3719298302
125 7.3554700389
150 66.8731927960
evaluations raw_y
1 25.0595416403
20 22.4113158520
57 20.2957098080
58 18.9347044960
59 17.9211709073
61 11.8878086137
67 9.1410858524
150 11.4134320407
evaluations raw_y
1 25.0595416403
20 22.4113158520
57 20.2957098080
58 18.9347044960
59 17.9211709073
61 11.8878086137
67 9.1410858524
150 11.4134320407
evaluations raw_y
1 25.0595416403
20 22.4113158520
57 20.2957098080
58 18.9347044960
59 17.9211709073
61 11.8878086137
67 9.1410858524
150 11.4134320407
evaluations raw_y
1 25.0595416403
20 22.4113158520
57 20.2957098080
58 18.9347044960
59 17.9211709073
61 11.8878086137
67 9.1410858524
150 11.4134320407
evaluations raw_y
1 25.0595416403
20 22.4113158520
57 20.2957098080
58 18.9347044960
59 17.9211709073
61 11.8878086137
67 9.1410858524
150 11.4134320407
evaluations raw_y
1 71.8557086548
2 66.6297494740
3 12.6872539192
127 10.3746060624
128 10.2362591719
150 15.6626556010
evaluations raw_y
1 71.8557086548
2 66.6297494740
3 12.6872539192
127 10.3746060624
128 10.2362591719
150 15.6626556010
evaluations raw_y
1 71.8557086548
2 66.6297494740
3 12.6872539192
127 10.3746060624
128 10.2362591719
150 15.6626556010
evaluations raw_y
1 71.8557086548
2 66.6297494740
3 12.6872539192
127 10.3746060624
128 10.2362591719
150 15.6626556010
evaluations raw_y
1 71.8557086548
2 66.6297494740
3 12.6872539192
127 10.3746060624
128 10.2362591719
150 15.6626556010
evaluations raw_y
1 26.9296512709
10 10.4650024183
69 9.6021874698
107 8.4223429389
118 8.2040008520
135 7.4191445928
150 12.3906113770
evaluations raw_y
1 26.9296512709
10 10.4650024183
69 9.6021874698
107 8.4223429389
118 8.2040008520
135 7.4191445928
150 12.3906113770
evaluations raw_y
1 26.9296512709
10 10.4650024183
69 9.6021874698
107 8.4223429389
118 8.2040008520
135 7.4191445928
150 12.3906113770
evaluations raw_y
1 26.9296512709
10 10.4650024183
69 9.6021874698
107 8.4223429389
118 8.2040008520
135 7.4191445928
150 12.3906113770
evaluations raw_y
1 26.9296512709
10 10.4650024183
69 9.6021874698
107 8.4223429389
118 8.2040008520
135 7.4191445928
150 12.3906113770
evaluations raw_y
1 8.4900646745
69 8.3134703702
72 4.4996942905
73 4.1825764549
74 3.3639462898
82 3.2579215233
87 2.1267715427
97 2.0123515398
111 1.5891487806
112 0.9584388596
125 0.6590445216
137 0.4953611191
148 0.2441664114
150 1.9833585181
evaluations raw_y
1 8.4900646745
69 8.3134703702
