evaluations raw_y
1 23174708.5763272457
2 6685776.5970951999
4 2457919.1829050668
7 326540.3585737348
17 164331.4453670865
29 120722.7346852773
38 43771.3310579023
56 20257.5516286538
144 15336.6124739346
150 115124.6920715935
evaluations raw_y
1 23174708.5763272457
2 6685776.5970951999
4 2457919.1829050668
7 326540.3585737348
17 164331.4453670865
29 120722.7346852773
38 43771.3310579023
56 20257.5516286538
144 15336.6124739346
150 115124.6920715935
evaluations raw_y
1 23174708.5763272457
2 6685776.5970951999
4 2457919.1829050668
7 326540.3585737348
17 164331.4453670865
29 120722.7346852773
38 43771.3310579023
56 20257.5516286538
144 15336.6124739346
150 115124.6920715935
evaluations raw_y
1 23174708.5763272457
2 6685776.5970951999
4 2457919.1829050668
7 326540.3585737348
17 164331.4453670865
29 120722.7346852773
38 43771.3310579023
56 20257.5516286538
144 15336.6124739346
150 115124.6920715935
evaluations raw_y
1 23174708.5763272457
2 6685776.5970951999
4 2457919.1829050668
7 326540.3585737348
17 164331.4453670865
29 120722.7346852773
38 43771.3310579023
56 20257.5516286538
144 15336.6124739346
150 115124.6920715935
evaluations raw_y
1 20357357.8514282331
2 9475582.4695359096
3 4983643.6426414382
8 3720091.1477626329
11 789116.5894904899
12 110488.8000663173
27 71965.4374738177
28 10621.0606721830
41 7397.4526553874
57 3040.8811665447
113 2165.8736993691
150 147308.0006276852
evaluations raw_y
1 20357357.8514282331
2 9475582.4695359096
3 4983643.6426414382
8 3720091.1477626329
11 789116.5894904899
12 110488.8000663173
27 71965.4374738177
28 10621.0606721830
41 7397.4526553874
57 3040.8811665447
113 2165.8736993691
150 147308.0006276852
evaluations raw_y
1 20357357.8514282331
2 9475582.4695359096
3 4983643.6426414382
8 3720091.1477626329
11 789116.5894904899
12 110488.8000663173
27 71965.4374738177
28 10621.0606721830
41 7397.4526553874
57 3040.8811665447
113 2165.8736993691
150 147308.0006276852
evaluations raw_y
1 20357357.8514282331
2 9475582.4695359096
3 4983643.6426414382
8 3720091.1477626329
11 789116.5894904899
12 110488.8000663173
27 71965.4374738177
28 10621.0606721830
41 7397.4526553874
57 3040.8811665447
113 2165.8736993691
150 147308.0006276852
evaluations raw_y
1 20357357.8514282331
2 9475582.4695359096
3 4983643.6426414382
8 3720091.1477626329
11 789116.5894904899
12 110488.8000663173
27 71965.4374738177
28 10621.0606721830
41 7397.4526553874
57 3040.8811665447
113 2165.8736993691
150 147308.0006276852
evaluations raw_y
1 9189891.8493248317
4 4336220.6476836838
5 909194.9754417347
8 576344.6602068789
11 70029.8778208956
18 29264.5022335350
94 28289.1505369360
106 24720.2312414736
107 19827.8285241405
130 17626.8027737351
138 12660.3603688683
143 5054.3667128982
150 33521.6711860058
evaluations raw_y
1 9189891.8493248317
4 4336220.6476836838
5 909194.9754417347
8 576344.6602068789
11 70029.8778208956
18 29264.5022335350
