evaluations raw_y
1 102.4339252017
3 89.1539061404
4 87.8709712202
8 65.6141450632
16 53.7770878880
27 31.3795516935
28 30.9501859399
45 29.0424572258
54 25.1935011404
62 24.9004726603
63 23.2845304253
79 18.3907092184
99 16.5437602068
101 14.7780832845
103 10.5733017394
150 13.0334771734
evaluations raw_y
1 102.4339252017
3 89.1539061404
4 87.8709712202
8 65.6141450632
16 53.7770878880
27 31.3795516935
28 30.9501859399
45 29.0424572258
54 25.1935011404
62 24.9004726603
63 23.2845304253
79 18.3907092184
99 16.5437602068
101 14.7780832845
103 10.5733017394
150 13.0334771734
evaluations raw_y
1 102.4339252017
3 89.1539061404
4 87.8709712202
8 65.6141450632
16 53.7770878880
27 31.3795516935
28 30.9501859399
45 29.0424572258
54 25.1935011404
62 24.9004726603
63 23.2845304253
79 18.3907092184
99 16.5437602068
101 14.7780832845
103 10.5733017394
150 13.0334771734
evaluations raw_y
1 102.4339252017
3 89.1539061404
4 87.8709712202
8 65.6141450632
16 53.7770878880
27 31.3795516935
28 30.9501859399
45 29.0424572258
54 25.1935011404
62 24.9004726603
63 23.2845304253
79 18.3907092184
99 16.5437602068
101 14.7780832845
103 10.5733017394
150 13.0334771734
evaluations raw_y
1 102.4339252017
3 89.1539061404
4 87.8709712202
8 65.6141450632
16 53.7770878880
27 31.3795516935
28 30.9501859399
45 29.0424572258
54 25.1935011404
62 24.9004726603
63 23.2845304253
79 18.3907092184
99 16.5437602068
101 14.7780832845
103 10.5733017394
150 13.0334771734
evaluations raw_y
1 104.5388540496
7 63.9761679281
12 46.7930914752
27 31.6012521426
53 26.2437366858
61 22.5426251218
87 22.1403043496
107 22.0024343952
111 20.8991474236
112 18.8139144570
114 17.5539901612
128 17.2632787275
137 16.4639945982
150 17.4217493378
evaluations raw_y
1 104.5388540496
7 63.9761679281
12 46.7930914752
27 31.6012521426
53 26.2437366858
61 22.5426251218
87 22.1403043496
107 22.0024343952
111 20.8991474236
112 18.8139144570
114 17.5539901612
128 17.2632787275
137 16.4639945982
150 17.4217493378
evaluations raw_y
1 104.5388540496
7 63.9761679281
12 46.7930914752
27 31.6012521426
53 26.2437366858
61 22.5426251218
87 22.1403043496
107 22.0024343952
111 20.8991474236
112 18.8139144570
114 17.5539901612
128 17.2632787275
137 16.4639945982
150 17.4217493378
evaluations raw_y
1 104.5388540496
7 63.9761679281
12 46.7930914752
27 31.6012521426
53 26.2437366858
61 22.5426251218
87 22.1403043496
107 22.0024343952
111 20.8991474236
112 18.8139144570
114 17.5539901612
128 17.2632787275
137 16.4639945982
150 17.4217493378
evaluations raw_y
1 104.5388540496
7 63.9761679281
12 46.7930914752
27 31.6012521426
53 26.2437366858
61 22.5426251218
87 22.1403043496
107 22.0024343952
111 20.8991474236
112 18.8139144570
114 17.5539901612
128 17.2632787275
137 16.4639945982
150 17.4217493378
evaluations raw_y
1 156.0981922269
2 110.9416544851
3 103.4274139392
5 84.6210766345
6 76.2826575539
10 34.0861552002
50 32.9569396290
54 28.5790653362
75 28.0975083257
76 19.1854499049
77 18.9196092599
93 17.3003714055
115 16.8464711497
130 16.3924432836
132 13.3604958938
150 16.0189513035
evaluations raw_y
1 156.0981922269
2 110.9416544851
3 103.4274139392
5 84.6210766345
6 76.2826575539
10 34.0861552002
50 32.9569396290
54 28.5790653362
75 28.0975083257
76 19.1854499049
77 18.9196092599
93 17.3003714055
115 16.8464711497
130 16.3924432836
132 13.3604958938
150 16.0189513035
evaluations raw_y
1 156.0981922269
2 110.9416544851
3 103.4274139392
5 84.6210766345
6 76.2826575539
10 34.0861552002
50 32.9569396290
54 28.5790653362
75 28.0975083257
76 19.1854499049
77 18.9196092599
93 17.3003714055
115 16.8464711497
130 16.3924432836
132 13.3604958938
150 16.0189513035
evaluations raw_y
1 156.0981922269
2 110.9416544851
3 103.4274139392
5 84.6210766345
6 76.2826575539
10 34.0861552002
50 32.9569396290
54 28.5790653362
75 28.0975083257
76 19.1854499049
77 18.9196092599
93 17.3003714055
115 16.8464711497
130 16.3924432836
132 13.3604958938
150 16.0189513035
evaluations raw_y
