evaluations raw_y
1 20923.8022621012
2 8145.3227257410
7 1808.2505590118
52 79.4073297763
113 73.0877753887
118 68.7362464324
136 29.9597787332
150 285.9579381086
evaluations raw_y
1 20923.8022621012
2 8145.3227257410
7 1808.2505590118
52 79.4073297763
113 73.0877753887
118 68.7362464324
136 29.9597787332
150 285.9579381086
evaluations raw_y
1 20923.8022621012
2 8145.3227257410
7 1808.2505590118
52 79.4073297763
113 73.0877753887
118 68.7362464324
136 29.9597787332
150 285.9579381086
evaluations raw_y
1 20923.8022621012
2 8145.3227257410
7 1808.2505590118
52 79.4073297763
113 73.0877753887
118 68.7362464324
136 29.9597787332
150 285.9579381086
evaluations raw_y
1 20923.8022621012
2 8145.3227257410
7 1808.2505590118
52 79.4073297763
113 73.0877753887
118 68.7362464324
136 29.9597787332
150 285.9579381086
evaluations raw_y
1 8876.4319987212
15 3859.2071590073
29 3639.4164232348
32 269.8472588052
38 248.7099668303
70 170.3928038565
72 161.1881749690
73 123.5375334761
94 107.9800125845
108 92.3283726777
114 81.0386248855
119 80.3071763080
120 70.3022894650
122 56.7694758296
123 17.8798692172
150 22.6697730906
evaluations raw_y
1 8876.4319987212
15 3859.2071590073
29 3639.4164232348
32 269.8472588052
38 248.7099668303
70 170.3928038565
72 161.1881749690
73 123.5375334761
94 107.9800125845
108 92.3283726777
114 81.0386248855
119 80.3071763080
120 70.3022894650
122 56.7694758296
123 17.8798692172
150 22.6697730906
evaluations raw_y
1 8876.4319987212
15 3859.2071590073
29 3639.4164232348
32 269.8472588052
38 248.7099668303
70 170.3928038565
72 161.1881749690
73 123.5375334761
94 107.9800125845
108 92.3283726777
114 81.0386248855
119 80.3071763080
120 70.3022894650
122 56.7694758296
123 17.8798692172
150 22.6697730906
evaluations raw_y
1 8876.4319987212
15 3859.2071590073
29 3639.4164232348
32 269.8472588052
38 248.7099668303
70 170.3928038565
72 161.1881749690
73 123.5375334761
94 107.9800125845
108 92.3283726777
114 81.0386248855
119 80.3071763080
120 70.3022894650
122 56.7694758296
123 17.8798692172
150 22.6697730906
evaluations raw_y
1 8876.4319987212
15 3859.2071590073
29 3639.4164232348
32 269.8472588052
38 248.7099668303
70 170.3928038565
72 161.1881749690
73 123.5375334761
94 107.9800125845
108 92.3283726777
114 81.0386248855
119 80.3071763080
120 70.3022894650
122 56.7694758296
123 17.8798692172
150 22.6697730906
evaluations raw_y
1 64698.8157119977
4 14941.9268846775
5 7988.3059982257
7 3430.2189754476
14 2125.2700419121
42 620.7330333456
58 541.3619704280
65 491.2155524252
66 325.7982857155
78 295.3850635520
91 140.9113843184
103 120.1853280601
131 94.7942263000
144 54.5771060480
147 35.4020354705
150 978.9298240835
evaluations raw_y
1 64698.8157119977
4 14941.9268846775
5 7988.3059982257
7 3430.2189754476
14 2125.2700419121
42 620.7330333456
58 541.3619704280
65 491.2155524252
66 325.7982857155
78 295.3850635520
91 140.9113843184
103 120.1853280601
131 94.7942263000
144 54.5771060480
147 35.4020354705
150 978.9298240835
evaluations raw_y
1 64698.8157119977
4 14941.9268846775
5 7988.3059982257
7 3430.2189754476
14 2125.2700419121
42 620.7330333456
58 541.3619704280
65 491.2155524252
66 325.7982857155
78 295.3850635520
91 140.9113843184
103 120.1853280601
131 94.7942263000
144 54.5771060480
147 35.4020354705
150 978.9298240835
evaluations raw_y
1 64698.8157119977
4 14941.9268846775
5 7988.3059982257
7 3430.2189754476
14 2125.2700419121
42 620.7330333456
58 541.3619704280
65 491.2155524252
66 325.7982857155
78 295.3850635520
91 140.9113843184
103 120.1853280601
131 94.7942263000
144 54.5771060480
147 35.4020354705
150 978.9298240835
evaluations raw_y
1 64698.8157119977
4 14941.9268846775
5 7988.3059982257
7 3430.2189754476
14 2125.2700419121
42 620.7330333456
58 541.3619704280
65 491.2155524252
66 325.7982857155
78 295.3850635520
91 140.9113843184
103 120.1853280601
131 94.7942263000
144 54.5771060480
147 35.4020354705
150 978.9298240835
evaluations raw_y
1 49779.6430638491
3 978.9668655015
8 555.7989313541
38 259.2075325247
64 181.9740453933
89 174.9408328276
90 126.2832211357
122 85.5929901124
127 82.2438443695
128 49.7049734174
150 140.1336321422
evaluations raw_y
1 49779.6430638491
3 978.9668655015
8 555.7989313541
38 259.2075325247
64 181.9740453933
89 174.9408328276
90 126.2832211357
122 85.5929901124
127 82.2438443695
128 49.7049734174
150 140.1336321422
evaluations raw_y
1 49779.6430638491
3 978.9668655015
8 555.7989313541
38 259.2075325247
64 181.9740453933
