evaluations raw_y
1 153366.1987172933
2 24748.3909261763
6 3771.0271288528
27 2362.9250681718
57 797.1022741106
68 461.4679692572
78 461.0292870324
103 358.5442416875
107 74.0412254894
150 296.5352274160
evaluations raw_y
1 153366.1987172933
2 24748.3909261763
6 3771.0271288528
27 2362.9250681718
57 797.1022741106
68 461.4679692572
78 461.0292870324
103 358.5442416875
107 74.0412254894
150 296.5352274160
evaluations raw_y
1 153366.1987172933
2 24748.3909261763
6 3771.0271288528
27 2362.9250681718
57 797.1022741106
68 461.4679692572
78 461.0292870324
103 358.5442416875
107 74.0412254894
150 296.5352274160
evaluations raw_y
1 153366.1987172933
2 24748.3909261763
6 3771.0271288528
27 2362.9250681718
57 797.1022741106
68 461.4679692572
78 461.0292870324
103 358.5442416875
107 74.0412254894
150 296.5352274160
evaluations raw_y
1 153366.1987172933
2 24748.3909261763
6 3771.0271288528
27 2362.9250681718
57 797.1022741106
68 461.4679692572
78 461.0292870324
103 358.5442416875
107 74.0412254894
150 296.5352274160
evaluations raw_y
1 89040.9627206829
2 62745.7597065359
3 60192.9497564840
4 9065.3998021283
8 1636.2576280180
28 1590.1933720145
47 756.8387797186
49 166.7963189787
135 157.1213743095
138 153.9944641035
150 221.5326111861
evaluations raw_y
1 89040.9627206829
2 62745.7597065359
3 60192.9497564840
4 9065.3998021283
8 1636.2576280180
28 1590.1933720145
47 756.8387797186
49 166.7963189787
135 157.1213743095
138 153.9944641035
150 221.5326111861
evaluations raw_y
1 89040.9627206829
2 62745.7597065359
3 60192.9497564840
4 9065.3998021283
8 1636.2576280180
28 1590.1933720145
47 756.8387797186
49 166.7963189787
135 157.1213743095
138 153.9944641035
150 221.5326111861
evaluations raw_y
1 89040.9627206829
2 62745.7597065359
3 60192.9497564840
4 9065.3998021283
8 1636.2576280180
28 1590.1933720145
47 756.8387797186
49 166.7963189787
135 157.1213743095
138 153.9944641035
150 221.5326111861
evaluations raw_y
1 89040.9627206829
2 62745.7597065359
3 60192.9497564840
4 9065.3998021283
8 1636.2576280180
28 1590.1933720145
47 756.8387797186
49 166.7963189787
135 157.1213743095
138 153.9944641035
150 221.5326111861
evaluations raw_y
1 25248.5956669629
9 16723.9100141380
14 4322.5637324301
27 2176.0713505863
35 1526.6831640381
38 209.5375340355
55 19.2214613802
68 11.4637730181
150 39.2853185561
evaluations raw_y
1 25248.5956669629
9 16723.9100141380
14 4322.5637324301
27 2176.0713505863
35 1526.6831640381
38 209.5375340355
55 19.2214613802
68 11.4637730181
150 39.2853185561
evaluations raw_y
1 25248.5956669629
9 16723.9100141380
14 4322.5637324301
27 2176.0713505863
35 1526.6831640381
38 209.5375340355
55 19.2214613802
68 11.4637730181
150 39.2853185561
evaluations raw_y
1 25248.5956669629
9 16723.9100141380
14 4322.5637324301
27 2176.0713505863
35 1526.6831640381
38 209.5375340355
55 19.2214613802
68 11.4637730181
150 39.2853185561
evaluations raw_y
1 25248.5956669629
9 16723.9100141380
14 4322.5637324301
27 2176.0713505863
35 1526.6831640381
38 209.5375340355
55 19.2214613802
68 11.4637730181
150 39.2853185561
evaluations raw_y
1 166597.1589328185
2 11818.0301218995
10 11310.4696485026
16 11250.1162662571
19 6773.1735850137
30 455.1445355274
32 418.0262860536
60 177.7225244089
150 890.2373856110
evaluations raw_y
1 166597.1589328185
2 11818.0301218995
10 11310.4696485026
16 11250.1162662571
19 6773.1735850137
30 455.1445355274
32 418.0262860536
60 177.7225244089
150 890.2373856110
evaluations raw_y
1 166597.1589328185
2 11818.0301218995
10 11310.4696485026
16 11250.1162662571
19 6773.1735850137
30 455.1445355274
32 418.0262860536
60 177.7225244089
150 890.2373856110
evaluations raw_y
1 166597.1589328185
2 11818.0301218995
10 11310.4696485026
16 11250.1162662571
19 6773.1735850137
30 455.1445355274
32 418.0262860536
60 177.7225244089
150 890.2373856110
evaluations raw_y
1 166597.1589328185
2 11818.0301218995
10 11310.4696485026
16 11250.1162662571
19 6773.1735850137
30 455.1445355274
32 418.0262860536
60 177.7225244089
150 890.2373856110
evaluations raw_y
1 137048.6577465090
2 2834.3989803447
39 2205.1095149943
40 1336.2769653215
59 933.9086035807
63 598.6871855710
67 347.7430738038
86 313.1075647164
88 275.2196414567
89 145.7191673160
133 75.1718745351
150 240.2422097648
evaluations raw_y
1 137048.6577465090
2 2834.3989803447
39 2205.1095149943
40 1336.2769653215
59 933.9086035807
63 598.6871855710
67 347.7430738038
86 313.1075647164
88 275.2196414567
89 145.7191673160
133 75.1718745351
150 240.2422097648
evaluations raw_y
1 137048.6577465090
2 2834.3989803447
39 2205.1095149943
40 1336.2769653215
59 933.9086035807
