evaluations raw_y
1 502.6258355241
5 248.8427417244
14 199.8790371646
34 178.6059880495
37 99.0581978382
51 94.6698218577
52 93.4253717492
71 92.7778016635
73 33.0453800015
93 24.7693831359
129 22.7181776192
138 20.0385369264
140 17.6123551646
145 17.4282605816
146 17.3426121296
150 76.8952342235
evaluations raw_y
1 502.6258355241
5 248.8427417244
14 199.8790371646
34 178.6059880495
37 99.0581978382
51 94.6698218577
52 93.4253717492
71 92.7778016635
73 33.0453800015
93 24.7693831359
129 22.7181776192
138 20.0385369264
140 17.6123551646
145 17.4282605816
146 17.3426121296
150 76.8952342235
evaluations raw_y
1 502.6258355241
5 248.8427417244
14 199.8790371646
34 178.6059880495
37 99.0581978382
51 94.6698218577
52 93.4253717492
71 92.7778016635
73 33.0453800015
93 24.7693831359
129 22.7181776192
138 20.0385369264
140 17.6123551646
145 17.4282605816
146 17.3426121296
150 76.8952342235
evaluations raw_y
1 502.6258355241
5 248.8427417244
14 199.8790371646
34 178.6059880495
37 99.0581978382
51 94.6698218577
52 93.4253717492
71 92.7778016635
73 33.0453800015
93 24.7693831359
129 22.7181776192
138 20.0385369264
140 17.6123551646
145 17.4282605816
146 17.3426121296
150 76.8952342235
evaluations raw_y
1 502.6258355241
5 248.8427417244
14 199.8790371646
34 178.6059880495
37 99.0581978382
51 94.6698218577
52 93.4253717492
71 92.7778016635
73 33.0453800015
93 24.7693831359
129 22.7181776192
138 20.0385369264
140 17.6123551646
145 17.4282605816
146 17.3426121296
150 76.8952342235
evaluations raw_y
1 309.9210984497
2 154.8517315531
5 135.6482471985
10 91.0821248807
26 83.6978447835
60 75.6901379893
62 57.4732677153
73 55.3776622206
76 53.5959677520
83 35.0979291116
102 32.3480423505
144 30.3119771204
150 59.2471180968
evaluations raw_y
1 309.9210984497
2 154.8517315531
5 135.6482471985
10 91.0821248807
26 83.6978447835
60 75.6901379893
62 57.4732677153
73 55.3776622206
76 53.5959677520
83 35.0979291116
102 32.3480423505
144 30.3119771204
150 59.2471180968
evaluations raw_y
1 309.9210984497
2 154.8517315531
5 135.6482471985
10 91.0821248807
26 83.6978447835
60 75.6901379893
62 57.4732677153
73 55.3776622206
76 53.5959677520
83 35.0979291116
102 32.3480423505
144 30.3119771204
150 59.2471180968
evaluations raw_y
1 309.9210984497
2 154.8517315531
5 135.6482471985
10 91.0821248807
26 83.6978447835
60 75.6901379893
62 57.4732677153
73 55.3776622206
76 53.5959677520
83 35.0979291116
102 32.3480423505
144 30.3119771204
150 59.2471180968
evaluations raw_y
1 309.9210984497
2 154.8517315531
5 135.6482471985
10 91.0821248807
26 83.6978447835
60 75.6901379893
62 57.4732677153
73 55.3776622206
76 53.5959677520
83 35.0979291116
102 32.3480423505
144 30.3119771204
150 59.2471180968
evaluations raw_y
1 73.4182572459
67 52.5312200514
82 47.8039980340
95 43.4391965900
100 35.8934890236
101 27.7094180502
130 24.1422155400
134 23.9937743623
137 18.4070815161
143 16.7160778246
150 52.2742833237
evaluations raw_y
1 73.4182572459
67 52.5312200514
82 47.8039980340
95 43.4391965900
100 35.8934890236
101 27.7094180502
130 24.1422155400
134 23.9937743623
137 18.4070815161
143 16.7160778246
150 52.2742833237
evaluations raw_y
1 73.4182572459
67 52.5312200514
82 47.8039980340
95 43.4391965900
100 35.8934890236
101 27.7094180502
130 24.1422155400
134 23.9937743623
137 18.4070815161
143 16.7160778246
150 52.2742833237
evaluations raw_y
1 73.4182572459
67 52.5312200514
82 47.8039980340
95 43.4391965900
100 35.8934890236
101 27.7094180502
130 24.1422155400
134 23.9937743623
137 18.4070815161
143 16.7160778246
150 52.2742833237
evaluations raw_y
1 73.4182572459
67 52.5312200514
82 47.8039980340
95 43.4391965900
100 35.8934890236
101 27.7094180502
130 24.1422155400
134 23.9937743623
137 18.4070815161
143 16.7160778246
150 52.2742833237
evaluations raw_y
1 253.8130351175
5 246.2137215524
9 68.0168630028
113 38.9922737187
150 60.5128192053
evaluations raw_y
1 253.8130351175
5 246.2137215524
9 68.0168630028
113 38.9922737187
150 60.5128192053
evaluations raw_y
1 253.8130351175
5 246.2137215524
9 68.0168630028
113 38.9922737187
150 60.5128192053
evaluations raw_y
1 253.8130351175
5 246.2137215524
9 68.0168630028
113 38.9922737187
150 60.5128192053
evaluations raw_y
1 253.8130351175
5 246.2137215524
9 68.0168630028
113 38.9922737187
150 60.5128192053
evaluations raw_y
1 210.6013129739
2 173.5862936288
3 135.0424504129
11 118.2875364625
27 96.8363005680
49 85.9591916210
60 75.0265097701
96 63.5830686123
110 59.2870731097
116 59.2347717129
124 56.8895112476
125 25.3475928294
150 74.0764431164
evaluations raw_y
1 210.6013129739
2 173.5862936288
3 135.0424504129
11 118.2875364625
27 96.8363005680
49 85.9591916210
60 75.0265097701
96 63.5830686123
110 59.2870731097
116 59.2347717129
124 56.8895112476
125 25.3475928294
150 74.0764431164
evaluations raw_y
1 210.6013129739
2 173.5862936288
3 135.0424504129
11 118.2875364625
27 96.8363005680
49 85.9591916210
60 75.0265097701
96 63.5830686123
110 59.2870731097
116 59.2347717129
124 56.8895112476
125 25.3475928294
150 74.0764431164
evaluations raw_y
1 210.6013129739
2 173.5862936288
3 135.0424504129
11 118.2875364625
27 96.8363005680
49 85.9591916210
60 75.0265097701
96 63.5830686123
110 59.2870731097
116 59.2347717129
124 56.8895112476
125 25.3475928294
150 74.0764431164
evaluations raw_y
1 210.6013129739
2 173.5862936288
3 135.0424504129
11 118.2875364625
27 96.8363005680
49 85.9591916210
60 75.0265097701
96 63.5830686123
110 59.2870731097
116 59.2347717129
124 56.8895112476
125 25.3475928294
150 74.0764431164
evaluations raw_y
1 557.3706513169
2 474.1094535162
7 451.6719174538
10 371.8916482570
14 165.7472038971
28 143.2366401166
34 82.9607083789
50 57.7120735797
82 56.7598348479
92 54.9540996938
93 52.1724362896
114 36.6942041446
122 28.9968048601
123 26.5004917555
124 26.0457098239
150 33.9211757879
evaluations raw_y
1 557.3706513169
2 474.1094535162
7 451.6719174538
10 371.8916482570
14 165.7472038971
28 143.2366401166
34 82.9607083789
50 57.7120735797
82 56.7598348479
92 54.9540996938
93 52.1724362896
114 36.6942041446
122 28.9968048601
123 26.5004917555
124 26.0457098239
150 33.9211757879
evaluations raw_y
1 557.3706513169
2 474.1094535162
7 451.6719174538
10 371.8916482570
14 165.7472038971
28 143.2366401166
34 82.9607083789
50 57.7120735797
82 56.7598348479
92 54.9540996938
93 52.1724362896
114 36.6942041446
122 28.9968048601
123 26.5004917555
124 26.0457098239
150 33.9211757879
evaluations raw_y
1 557.3706513169
2 474.1094535162
7 451.6719174538
10 371.8916482570
14 165.7472038971
28 143.2366401166
34 82.9607083789
50 57.7120735797
82 56.7598348479
92 54.9540996938
93 52.1724362896
114 36.6942041446
122 28.9968048601
123 26.5004917555
124 26.0457098239
150 33.9211757879
evaluations raw_y
1 557.3706513169
2 474.1094535162
7 451.6719174538
10 371.8916482570
14 165.7472038971
28 143.2366401166
34 82.9607083789
50 57.7120735797
82 56.7598348479
92 54.9540996938
93 52.1724362896
114 36.6942041446
122 28.9968048601
123 26.5004917555
124 26.0457098239
150 33.9211757879
evaluations raw_y
1 1600.7213990902
2 288.0956843183
4 65.4370348247
129 60.5439798809
150 77.3658978473
evaluations raw_y
1 1600.7213990902
2 288.0956843183
4 65.4370348247
129 60.5439798809
150 77.3658978473
evaluations raw_y
1 1600.7213990902
2 288.0956843183
4 65.4370348247
129 60.5439798809
150 77.3658978473
evaluations raw_y
1 1600.7213990902
2 288.0956843183
4 65.4370348247
129 60.5439798809
150 77.3658978473
evaluations raw_y
1 1600.7213990902
2 288.0956843183
4 65.4370348247
129 60.5439798809
150 77.3658978473
evaluations raw_y
1 1395.0588967643
2 139.7134234807
56 130.0965781070
71 129.1529462590
74 107.0020049367
77 106.6398624495
83 103.6857960370
99 91.4168997515
133 87.2587709082
150 126.7098837967
evaluations raw_y
1 1395.0588967643
2 139.7134234807
56 130.0965781070
71 129.1529462590
74 107.0020049367
77 106.6398624495
83 103.6857960370
99 91.4168997515
133 87.2587709082
150 126.7098837967
evaluations raw_y
1 1395.0588967643
2 139.7134234807
56 130.0965781070
71 129.1529462590
74 107.0020049367
77 106.6398624495
83 103.6857960370
99 91.4168997515
133 87.2587709082
150 126.7098837967
evaluations raw_y
1 1395.0588967643
2 139.7134234807
56 130.0965781070
71 129.1529462590
74 107.0020049367
77 106.6398624495
83 103.6857960370
99 91.4168997515
133 87.2587709082
150 126.7098837967
evaluations raw_y
1 1395.0588967643
2 139.7134234807
56 130.0965781070
71 129.1529462590
74 107.0020049367
77 106.6398624495
83 103.6857960370
99 91.4168997515
133 87.2587709082
150 126.7098837967
evaluations raw_y
1 245.5913197314
7 135.4453495489
13 46.8399066121
150 121.2152855401
evaluations raw_y
1 245.5913197314
7 135.4453495489
13 46.8399066121
150 121.2152855401
evaluations raw_y
1 245.5913197314
7 135.4453495489
13 46.8399066121
150 121.2152855401
evaluations raw_y
1 245.5913197314
7 135.4453495489
13 46.8399066121
150 121.2152855401
evaluations raw_y
1 245.5913197314
7 135.4453495489
13 46.8399066121
150 121.2152855401
evaluations raw_y
1 380.1298418643
2 272.7255836044
3 191.2504555499
4 162.6369239368
8 130.1026822203
20 92.5870653730
66 72.3450926516
88 69.5251845665
92 69.0592235697
95 58.7173388535
99 57.6968552581
101 54.7454442289
133 42.9467969247
135 42.2006373719
150 56.2100530842
evaluations raw_y
1 380.1298418643
2 272.7255836044
3 191.2504555499
4 162.6369239368
8 130.1026822203
20 92.5870653730
66 72.3450926516
88 69.5251845665
92 69.0592235697
95 58.7173388535
99 57.6968552581
101 54.7454442289
133 42.9467969247
135 42.2006373719
150 56.2100530842
evaluations raw_y
1 380.1298418643
2 272.7255836044
3 191.2504555499
4 162.6369239368
8 130.1026822203
20 92.5870653730
66 72.3450926516
88 69.5251845665
92 69.0592235697
95 58.7173388535
99 57.6968552581
101 54.7454442289
133 42.9467969247
135 42.2006373719
150 56.2100530842
evaluations raw_y
1 380.1298418643
2 272.7255836044
3 191.2504555499
4 162.6369239368
8 130.1026822203
20 92.5870653730
66 72.3450926516
88 69.5251845665
92 69.0592235697
95 58.7173388535
99 57.6968552581
101 54.7454442289
133 42.9467969247
135 42.2006373719
150 56.2100530842
evaluations raw_y
1 380.1298418643
2 272.7255836044
3 191.2504555499
4 162.6369239368
8 130.1026822203
20 92.5870653730
66 72.3450926516
88 69.5251845665
92 69.0592235697
95 58.7173388535
99 57.6968552581
101 54.7454442289
133 42.9467969247
135 42.2006373719
150 56.2100530842
evaluations raw_y
1 4197.3401690254
2 1196.7052270887
3 772.3842563080
6 269.4840096313
7 143.3986171111
12 124.0483310923
28 100.2047938193
49 80.2839779593
67 79.5771030558
68 75.4984333323
72 72.6911610450
77 61.1874108500
97 60.3916425190
99 59.9493560744
119 54.9179223151
137 47.8608073722
138 46.8322421656
150 75.8771903671
evaluations raw_y
1 4197.3401690254
2 1196.7052270887
3 772.3842563080
6 269.4840096313
7 143.3986171111
12 124.0483310923
28 100.2047938193
49 80.2839779593
67 79.5771030558
68 75.4984333323
72 72.6911610450
77 61.1874108500
97 60.3916425190
99 59.9493560744
119 54.9179223151
137 47.8608073722
138 46.8322421656
150 75.8771903671
evaluations raw_y
1 4197.3401690254
2 1196.7052270887
3 772.3842563080
6 269.4840096313
7 143.3986171111
12 124.0483310923
28 100.2047938193
49 80.2839779593
67 79.5771030558
68 75.4984333323
72 72.6911610450
77 61.1874108500
97 60.3916425190
99 59.9493560744
119 54.9179223151
137 47.8608073722
138 46.8322421656
150 75.8771903671
evaluations raw_y
1 4197.3401690254
2 1196.7052270887
3 772.3842563080
6 269.4840096313
7 143.3986171111
12 124.0483310923
28 100.2047938193
49 80.2839779593
67 79.5771030558
68 75.4984333323
72 72.6911610450
77 61.1874108500
97 60.3916425190
99 59.9493560744
119 54.9179223151
137 47.8608073722
138 46.8322421656
150 75.8771903671
evaluations raw_y
1 4197.3401690254
2 1196.7052270887
3 772.3842563080
6 269.4840096313
7 143.3986171111
12 124.0483310923
28 100.2047938193
49 80.2839779593
67 79.5771030558
68 75.4984333323
72 72.6911610450
77 61.1874108500
97 60.3916425190
99 59.9493560744
119 54.9179223151
137 47.8608073722
138 46.8322421656
150 75.8771903671
evaluations raw_y
1 1151.5054802889
3 248.2333711703
11 221.4043536961
12 172.0531669770
17 127.3833227287
42 106.3192771550
50 104.1701660722
52 101.1697914925
56 81.2221727966
66 64.4621650063
92 61.0167857474
100 35.6549744134
134 28.0650290093
150 92.0103714495
evaluations raw_y
1 1151.5054802889
3 248.2333711703
11 221.4043536961
12 172.0531669770
17 127.3833227287
42 106.3192771550
50 104.1701660722
52 101.1697914925
56 81.2221727966
66 64.4621650063
92 61.0167857474
100 35.6549744134
134 28.0650290093
150 92.0103714495
evaluations raw_y
1 1151.5054802889
3 248.2333711703
11 221.4043536961
12 172.0531669770
17 127.3833227287
42 106.3192771550
50 104.1701660722
52 101.1697914925
56 81.2221727966
66 64.4621650063
92 61.0167857474
100 35.6549744134
134 28.0650290093
150 92.0103714495
evaluations raw_y
1 1151.5054802889
3 248.2333711703
11 221.4043536961
12 172.0531669770
17 127.3833227287
42 106.3192771550
50 104.1701660722
52 101.1697914925
56 81.2221727966
66 64.4621650063
92 61.0167857474
100 35.6549744134
134 28.0650290093
150 92.0103714495
evaluations raw_y
1 1151.5054802889
3 248.2333711703
11 221.4043536961
12 172.0531669770
17 127.3833227287
42 106.3192771550
50 104.1701660722
52 101.1697914925
56 81.2221727966
66 64.4621650063
92 61.0167857474
100 35.6549744134
134 28.0650290093
150 92.0103714495
evaluations raw_y
1 533.9644425615
4 349.1913931881
5 171.6352498570
7 98.5466871829
8 89.7443756542
72 89.5202199847
73 78.9768577724
90 75.2208543733
127 68.5995047188
130 66.3883618527
135 61.8210098675
150 89.7034483744
evaluations raw_y
1 533.9644425615
4 349.1913931881
5 171.6352498570
7 98.5466871829
8 89.7443756542
72 89.5202199847
73 78.9768577724
90 75.2208543733
127 68.5995047188
130 66.3883618527
135 61.8210098675
150 89.7034483744
evaluations raw_y
1 533.9644425615
4 349.1913931881
5 171.6352498570
7 98.5466871829
8 89.7443756542
72 89.5202199847
73 78.9768577724
90 75.2208543733
127 68.5995047188
130 66.3883618527
135 61.8210098675
150 89.7034483744
evaluations raw_y
1 533.9644425615
4 349.1913931881
5 171.6352498570
7 98.5466871829
8 89.7443756542
72 89.5202199847
73 78.9768577724
90 75.2208543733
127 68.5995047188
130 66.3883618527
135 61.8210098675
150 89.7034483744
evaluations raw_y
1 533.9644425615
4 349.1913931881
5 171.6352498570
7 98.5466871829
8 89.7443756542
72 89.5202199847
73 78.9768577724
90 75.2208543733
127 68.5995047188
130 66.3883618527
135 61.8210098675
150 89.7034483744
evaluations raw_y
1 363.3210245345
2 354.0156383979
3 269.9693400261
5 147.6238408420
6 84.1523090313
58 77.1708502069
61 40.6039426991
108 38.0694183013
141 37.3950898798
150 42.8458696430
evaluations raw_y
1 363.3210245345
2 354.0156383979
3 269.9693400261
5 147.6238408420
6 84.1523090313
58 77.1708502069
61 40.6039426991
108 38.0694183013
141 37.3950898798
150 42.8458696430
evaluations raw_y
1 363.3210245345
2 354.0156383979
3 269.9693400261
5 147.6238408420
6 84.1523090313
58 77.1708502069
61 40.6039426991
108 38.0694183013
141 37.3950898798
150 42.8458696430
evaluations raw_y
1 363.3210245345
2 354.0156383979
3 269.9693400261
5 147.6238408420
6 84.1523090313
58 77.1708502069
61 40.6039426991
108 38.0694183013
141 37.3950898798
150 42.8458696430
evaluations raw_y
1 363.3210245345
2 354.0156383979
3 269.9693400261
5 147.6238408420
6 84.1523090313
58 77.1708502069
61 40.6039426991
108 38.0694183013
141 37.3950898798
150 42.8458696430
