evaluations raw_y
1 15.9918901957
4 11.9744060439
13 11.2246967779
19 9.8337278644
20 7.8136448490
54 3.5527227059
67 2.5629336528
108 2.4305933569
109 1.9169499576
111 1.7106984866
150 3.1979818339
evaluations raw_y
1 15.9918901957
4 11.9744060439
13 11.2246967779
19 9.8337278644
20 7.8136448490
54 3.5527227059
67 2.5629336528
108 2.4305933569
109 1.9169499576
111 1.7106984866
150 3.1979818339
evaluations raw_y
1 15.9918901957
4 11.9744060439
13 11.2246967779
19 9.8337278644
20 7.8136448490
54 3.5527227059
67 2.5629336528
108 2.4305933569
109 1.9169499576
111 1.7106984866
150 3.1979818339
evaluations raw_y
1 15.9918901957
4 11.9744060439
13 11.2246967779
19 9.8337278644
20 7.8136448490
54 3.5527227059
67 2.5629336528
108 2.4305933569
109 1.9169499576
111 1.7106984866
150 3.1979818339
evaluations raw_y
1 15.9918901957
4 11.9744060439
13 11.2246967779
19 9.8337278644
20 7.8136448490
54 3.5527227059
67 2.5629336528
108 2.4305933569
109 1.9169499576
111 1.7106984866
150 3.1979818339
evaluations raw_y
1 12.8068317739
7 9.5349329613
43 7.8064345751
49 4.6076939526
50 3.0792302020
73 2.4659069510
88 2.3472177617
137 2.2227489635
150 3.6913148355
evaluations raw_y
1 12.8068317739
7 9.5349329613
43 7.8064345751
49 4.6076939526
50 3.0792302020
73 2.4659069510
88 2.3472177617
137 2.2227489635
150 3.6913148355
evaluations raw_y
1 12.8068317739
7 9.5349329613
43 7.8064345751
49 4.6076939526
50 3.0792302020
73 2.4659069510
88 2.3472177617
137 2.2227489635
150 3.6913148355
evaluations raw_y
1 12.8068317739
7 9.5349329613
43 7.8064345751
49 4.6076939526
50 3.0792302020
73 2.4659069510
88 2.3472177617
137 2.2227489635
150 3.6913148355
evaluations raw_y
1 12.8068317739
7 9.5349329613
43 7.8064345751
49 4.6076939526
50 3.0792302020
73 2.4659069510
88 2.3472177617
137 2.2227489635
150 3.6913148355
evaluations raw_y
1 21.4813365233
6 8.7318367546
11 6.5236078081
37 5.7253356125
71 5.4125198048
72 5.3700357683
