evaluations raw_y
1 11345.9257762911
25 6965.1722329011
30 3728.6900634325
42 1030.6261662384
57 395.7694116686
58 219.5277976781
60 209.4291005994
66 206.6100928569
73 125.2716707574
76 107.2994959448
79 99.7907088973
87 89.5356734620
97 77.1845819719
101 77.1362497863
102 75.5265110669
113 73.4993983722
118 73.4712785237
122 72.6752499324
125 39.5528460624
129 39.3430127702
145 36.4553224582
150 112.4703348433
evaluations raw_y
1 11345.9257762911
25 6965.1722329011
30 3728.6900634325
42 1030.6261662384
57 395.7694116686
58 219.5277976781
60 209.4291005994
66 206.6100928569
73 125.2716707574
76 107.2994959448
79 99.7907088973
87 89.5356734620
97 77.1845819719
101 77.1362497863
102 75.5265110669
113 73.4993983722
118 73.4712785237
122 72.6752499324
125 39.5528460624
129 39.3430127702
145 36.4553224582
150 112.4703348433
evaluations raw_y
1 11345.9257762911
25 6965.1722329011
30 3728.6900634325
42 1030.6261662384
57 395.7694116686
58 219.5277976781
60 209.4291005994
66 206.6100928569
73 125.2716707574
76 107.2994959448
79 99.7907088973
87 89.5356734620
97 77.1845819719
101 77.1362497863
102 75.5265110669
113 73.4993983722
118 73.4712785237
122 72.6752499324
125 39.5528460624
129 39.3430127702
145 36.4553224582
150 112.4703348433
evaluations raw_y
1 11345.9257762911
25 6965.1722329011
30 3728.6900634325
42 1030.6261662384
57 395.7694116686
58 219.5277976781
60 209.4291005994
66 206.6100928569
73 125.2716707574
76 107.2994959448
79 99.7907088973
87 89.5356734620
97 77.1845819719
101 77.1362497863
102 75.5265110669
113 73.4993983722
118 73.4712785237
122 72.6752499324
125 39.5528460624
129 39.3430127702
145 36.4553224582
150 112.4703348433
evaluations raw_y
1 11345.9257762911
25 6965.1722329011
30 3728.6900634325
42 1030.6261662384
57 395.7694116686
58 219.5277976781
60 209.4291005994
66 206.6100928569
73 125.2716707574
76 107.2994959448
79 99.7907088973
87 89.5356734620
97 77.1845819719
101 77.1362497863
102 75.5265110669
113 73.4993983722
118 73.4712785237
122 72.6752499324
125 39.5528460624
129 39.3430127702
145 36.4553224582
150 112.4703348433
evaluations raw_y
1 233028.3463656301
2 129291.8499267366
5 314.2026088606
7 188.5917359483
26 126.4802956476
36 123.0750727432
57 105.9187015500
65 104.0022853337
76 93.3876712876
90 79.8366293679
93 78.8180609816
96 76.1858339833
97 74.0239833244
108 60.7894829103
110 59.2609423088
112 54.9219752397
113 45.7175516721
122 41.9029744475
123 39.0124966845
131 38.8162435464
135 38.1296381710
150 34.9382286741
evaluations raw_y
1 233028.3463656301
2 129291.8499267366
5 314.2026088606
7 188.5917359483
26 126.4802956476
36 123.0750727432
57 105.9187015500
65 104.0022853337
76 93.3876712876
90 79.8366293679
93 78.8180609816
96 76.1858339833
97 74.0239833244
108 60.7894829103
110 59.2609423088
112 54.9219752397
113 45.7175516721
122 41.9029744475
123 39.0124966845
131 38.8162435464
135 38.1296381710
150 34.9382286741
evaluations raw_y
1 233028.3463656301
2 129291.8499267366
5 314.2026088606
7 188.5917359483
26 126.4802956476
36 123.0750727432
57 105.9187015500
65 104.0022853337
76 93.3876712876
90 79.8366293679
93 78.8180609816
96 76.1858339833
97 74.0239833244
108 60.7894829103
110 59.2609423088
112 54.9219752397
113 45.7175516721
122 41.9029744475
123 39.0124966845
131 38.8162435464
135 38.1296381710
150 34.9382286741
evaluations raw_y
1 233028.3463656301
2 129291.8499267366
5 314.2026088606
7 188.5917359483
26 126.4802956476
36 123.0750727432
57 105.9187015500
65 104.0022853337
76 93.3876712876
90 79.8366293679
93 78.8180609816
96 76.1858339833
97 74.0239833244
108 60.7894829103
110 59.2609423088
112 54.9219752397
113 45.7175516721
122 41.9029744475
123 39.0124966845
131 38.8162435464
135 38.1296381710
150 34.9382286741
evaluations raw_y
1 233028.3463656301
2 129291.8499267366
5 314.2026088606
7 188.5917359483
26 126.4802956476
36 123.0750727432
57 105.9187015500
65 104.0022853337
76 93.3876712876
90 79.8366293679
93 78.8180609816
96 76.1858339833
97 74.0239833244
108 60.7894829103
110 59.2609423088
112 54.9219752397
113 45.7175516721
122 41.9029744475
123 39.0124966845
131 38.8162435464
135 38.1296381710
150 34.9382286741
evaluations raw_y
1 81975.9355846354
3 14450.1306466782
13 44.5485328111
73 22.2623047546
82 19.5790922989
97 15.1429384515
104 14.2745663647
118 13.3191765294
119 13.1095727290
129 12.6387263898
150 12.5977989299
evaluations raw_y
1 81975.9355846354
3 14450.1306466782
13 44.5485328111
73 22.2623047546
82 19.5790922989
97 15.1429384515
104 14.2745663647
118 13.3191765294
119 13.1095727290
129 12.6387263898
150 12.5977989299
evaluations raw_y
