evaluations raw_y
1 94.6111438376
7 38.9755368042
29 29.9357047890
37 11.6408600945
77 10.4268673521
92 4.5708396148
99 2.7297583871
145 2.3197479713
150 2.7297583871
evaluations raw_y
1 94.6111438376
7 38.9755368042
29 29.9357047890
37 11.6408600945
77 10.4268673521
92 4.5708396148
99 2.7297583871
145 2.3197479713
150 2.7297583871
evaluations raw_y
1 94.6111438376
7 38.9755368042
29 29.9357047890
37 11.6408600945
77 10.4268673521
92 4.5708396148
99 2.7297583871
145 2.3197479713
150 2.7297583871
evaluations raw_y
1 94.6111438376
7 38.9755368042
29 29.9357047890
37 11.6408600945
77 10.4268673521
92 4.5708396148
99 2.7297583871
145 2.3197479713
150 2.7297583871
evaluations raw_y
1 94.6111438376
7 38.9755368042
29 29.9357047890
37 11.6408600945
77 10.4268673521
92 4.5708396148
99 2.7297583871
145 2.3197479713
150 2.7297583871
evaluations raw_y
1 230.5226426929
2 52.7849203395
12 51.2380922021
39 28.8794169601
82 26.0848795089
87 20.0171478822
95 8.7950091088
114 7.3947668704
150 9.5425146986
evaluations raw_y
1 230.5226426929
2 52.7849203395
12 51.2380922021
39 28.8794169601
82 26.0848795089
87 20.0171478822
95 8.7950091088
114 7.3947668704
150 9.5425146986
evaluations raw_y
1 230.5226426929
2 52.7849203395
12 51.2380922021
39 28.8794169601
82 26.0848795089
87 20.0171478822
95 8.7950091088
114 7.3947668704
150 9.5425146986
evaluations raw_y
1 230.5226426929
2 52.7849203395
12 51.2380922021
39 28.8794169601
82 26.0848795089
87 20.0171478822
95 8.7950091088
114 7.3947668704
150 9.5425146986
evaluations raw_y
1 230.5226426929
2 52.7849203395
12 51.2380922021
39 28.8794169601
82 26.0848795089
87 20.0171478822
95 8.7950091088
114 7.3947668704
150 9.5425146986
evaluations raw_y
1 2385.8510088959
5 538.5284790075
7 223.3376357799
9 162.0556407999
49 93.2718295733
50 90.7821534253
51 76.6412409225
60 72.9462465228
61 59.2740855856
74 56.8999449381
76 55.4077642269
90 53.1168856057
96 43.5488757658
99 36.0487463056
100 33.6883353479
109 22.3918636172
137 16.2802491017
143 13.5122100316
150 25.8175503713
evaluations raw_y
1 2385.8510088959
5 538.5284790075
7 223.3376357799
9 162.0556407999
49 93.2718295733
50 90.7821534253
51 76.6412409225
60 72.9462465228
61 59.2740855856
74 56.8999449381
76 55.4077642269
90 53.1168856057
96 43.5488757658
99 36.0487463056
100 33.6883353479
109 22.3918636172
137 16.2802491017
143 13.5122100316
150 25.8175503713
evaluations raw_y
1 2385.8510088959
5 538.5284790075
7 223.3376357799
9 162.0556407999
49 93.2718295733
50 90.7821534253
51 76.6412409225
60 72.9462465228
61 59.2740855856
74 56.8999449381
76 55.4077642269
90 53.1168856057
96 43.5488757658
99 36.0487463056
100 33.6883353479
109 22.3918636172
137 16.2802491017
143 13.5122100316
150 25.8175503713
evaluations raw_y
1 2385.8510088959
5 538.5284790075
7 223.3376357799
9 162.0556407999
49 93.2718295733
50 90.7821534253
51 76.6412409225
60 72.9462465228
61 59.2740855856
74 56.8999449381
76 55.4077642269
90 53.1168856057
96 43.5488757658
99 36.0487463056
100 33.6883353479
109 22.3918636172
137 16.2802491017
143 13.5122100316
150 25.8175503713
evaluations raw_y
1 2385.8510088959
5 538.5284790075
7 223.3376357799
9 162.0556407999
