evaluations raw_y
1 20923.8022621012
2 8145.3227257410
7 1808.2505590118
42 231.9168433710
50 147.6595890790
57 140.2403642322
108 138.5807700309
113 136.4438882244
122 125.2550526213
123 123.4031422091
141 122.5427443509
150 123.3377247896
evaluations raw_y
1 20923.8022621012
2 8145.3227257410
7 1808.2505590118
42 231.9168433710
50 147.6595890790
57 140.2403642322
108 138.5807700309
113 136.4438882244
122 125.2550526213
123 123.4031422091
141 122.5427443509
150 123.3377247896
evaluations raw_y
1 20923.8022621012
2 8145.3227257410
7 1808.2505590118
42 231.9168433710
50 147.6595890790
57 140.2403642322
108 138.5807700309
113 136.4438882244
122 125.2550526213
123 123.4031422091
141 122.5427443509
150 123.3377247896
evaluations raw_y
1 20923.8022621012
2 8145.3227257410
7 1808.2505590118
42 231.9168433710
50 147.6595890790
57 140.2403642322
108 138.5807700309
113 136.4438882244
122 125.2550526213
123 123.4031422091
141 122.5427443509
150 123.3377247896
evaluations raw_y
1 20923.8022621012
2 8145.3227257410
7 1808.2505590118
42 231.9168433710
50 147.6595890790
57 140.2403642322
108 138.5807700309
113 136.4438882244
122 125.2550526213
123 123.4031422091
141 122.5427443509
150 123.3377247896
evaluations raw_y
1 8876.4319987212
15 3859.2071590073
58 1475.7304726806
71 677.8982901488
84 666.7637923040
95 645.2196113293
99 631.3358390033
103 576.9406281155
108 534.4901518296
112 497.6746843985
113 489.8831776255
114 463.9011889999
127 277.0867005208
137 274.0579238151
150 6108.3563145635
evaluations raw_y
1 8876.4319987212
15 3859.2071590073
58 1475.7304726806
71 677.8982901488
84 666.7637923040
95 645.2196113293
99 631.3358390033
103 576.9406281155
108 534.4901518296
112 497.6746843985
113 489.8831776255
114 463.9011889999
127 277.0867005208
137 274.0579238151
150 6108.3563145635
evaluations raw_y
1 8876.4319987212
15 3859.2071590073
58 1475.7304726806
71 677.8982901488
84 666.7637923040
95 645.2196113293
99 631.3358390033
103 576.9406281155
108 534.4901518296
112 497.6746843985
113 489.8831776255
114 463.9011889999
127 277.0867005208
137 274.0579238151
150 6108.3563145635
evaluations raw_y
1 8876.4319987212
15 3859.2071590073
58 1475.7304726806
71 677.8982901488
84 666.7637923040
95 645.2196113293
99 631.3358390033
103 576.9406281155
108 534.4901518296
112 497.6746843985
113 489.8831776255
114 463.9011889999
127 277.0867005208
137 274.0579238151
150 6108.3563145635
evaluations raw_y
1 8876.4319987212
15 3859.2071590073
58 1475.7304726806
71 677.8982901488
84 666.7637923040
95 645.2196113293
99 631.3358390033
103 576.9406281155
108 534.4901518296
112 497.6746843985
113 489.8831776255
114 463.9011889999
127 277.0867005208
137 274.0579238151
150 6108.3563145635
evaluations raw_y
1 64698.8157119977
4 14941.9268846775
5 7988.3059982257
7 3430.2189754476
14 2125.2700419121
57 2011.1544751493
58 1104.2898864517
60 935.3752717641
76 534.9692511823
79 380.0594946181
85 351.9887633160
130 351.1231267588
135 313.6531024620
144 229.4190041773
150 337.8927111651
evaluations raw_y
1 64698.8157119977
4 14941.9268846775
5 7988.3059982257
7 3430.2189754476
14 2125.2700419121
57 2011.1544751493
58 1104.2898864517
60 935.3752717641
76 534.9692511823
79 380.0594946181
85 351.9887633160
130 351.1231267588
135 313.6531024620
144 229.4190041773
150 337.8927111651
evaluations raw_y
1 64698.8157119977
4 14941.9268846775
5 7988.3059982257
7 3430.2189754476
14 2125.2700419121
57 2011.1544751493
58 1104.2898864517
60 935.3752717641
76 534.9692511823
79 380.0594946181
85 351.9887633160
130 351.1231267588
135 313.6531024620
144 229.4190041773
150 337.8927111651
evaluations raw_y
1 64698.8157119977
4 14941.9268846775
5 7988.3059982257
7 3430.2189754476
14 2125.2700419121
57 2011.1544751493
58 1104.2898864517
60 935.3752717641
76 534.9692511823
79 380.0594946181
85 351.9887633160
130 351.1231267588
135 313.6531024620
144 229.4190041773
150 337.8927111651
evaluations raw_y
1 64698.8157119977
4 14941.9268846775
5 7988.3059982257
7 3430.2189754476
14 2125.2700419121
57 2011.1544751493
58 1104.2898864517
60 935.3752717641
76 534.9692511823
79 380.0594946181
85 351.9887633160
130 351.1231267588
135 313.6531024620
144 229.4190041773
150 337.8927111651
evaluations raw_y
1 49779.6430638491
3 978.9668655015
8 555.7989313541
150 3897.3389696586
evaluations raw_y
1 49779.6430638491
3 978.9668655015
8 555.7989313541
150 3897.3389696586
evaluations raw_y
1 49779.6430638491
3 978.9668655015
8 555.7989313541
150 3897.3389696586
evaluations raw_y
1 49779.6430638491
3 978.9668655015
