evaluations raw_y
1 236.1093724297
5 11.0870595785
14 7.1657477452
18 3.1784065353
150 293.8893277199
evaluations raw_y
1 2.0435375856
150 73.8967153300
evaluations raw_y
1 480.3806015408
3 28.8422701985
8 18.9560637679
14 9.5186195074
19 5.2028157442
24 3.1966371294
103 2.1449958511
150 672.1725584449
evaluations raw_y
1 5.0314562525
35 4.6924037208
133 2.9421605633
150 30.0801873595
evaluations raw_y
1 11.2436319768
10 10.2737746449
12 5.6567492464
34 5.1736980789
66 3.2061914897
130 2.9813756775
150 95.7758070273
evaluations raw_y
1 364.2355045388
2 14.8699339708
34 10.0848631725
51 8.1542517784
75 3.6498423207
150 59.0769764768
evaluations raw_y
1 157.5845667841
3 48.4367301038
8 0.9733816619
150 43.5931589429
evaluations raw_y
1 17.5263175175
4 8.2191341187
16 4.8606036289
36 2.9177846915
150 176.5462697399
evaluations raw_y
1 699.4273449625
2 40.8780689077
5 20.8977727821
29 18.2753054874
59 12.4795866250
81 9.4841415143
101 5.1880879203
150 67.9487307807
evaluations raw_y
1 472.2989470425
2 207.0538570831
3 123.7215008705
4 21.7931413192
9 8.3626994379
31 7.9565048300
123 6.5281070044
134 5.7789459137
150 55.9223123305
evaluations raw_y
1 69.9310477153
2 43.0722758703
4 22.3332399873
5 7.3651231532
7 6.4189424522
40 1.2860903407
150 35.3986416205
evaluations raw_y
1 17.7062996870
3 9.3889364303
21 5.8596557516
28 3.7148740594
55 3.2732170450
150 8.8932095792
evaluations raw_y
1 49.7683764173
2 12.8385784943
14 9.1149204610
46 4.3719550930
110 4.0343533380
135 3.4995260648
150 40.9661677378
evaluations raw_y
1 22.5052495159
2 17.2423216113
6 9.7930906765
64 9.3956817951
89 3.8366276006
150 146.4163575599
evaluations raw_y
1 376.0964589564
2 143.3970616341
3 14.4279375038
6 10.9150294725
7 8.9313583194
18 8.0459075037
31 3.0602684911
44 0.7978807051
150 49.6209167708
evaluations raw_y
1 34.0827067388
3 11.9695528868
16 10.4406988571
30 9.9059121987
31 8.2765602806
36 2.7768604754
150 19.0516097217
evaluations raw_y
1 196.4369000735
2 38.3662957507
8 14.4321088960
10 12.6676565082
16 12.4802040823
24 8.2726906743
57 6.0500904445
70 5.5338650380
72 4.8649916937
105 1.7281894726
150 39.8116706063
evaluations raw_y
1 126.3815106005
2 24.3574279959
6 23.0900845506
8 8.5253184467
9 6.2925781888
34 5.2624722281
41 3.1028538165
66 2.7453326303
103 0.9298931879
150 9.9326847510
evaluations raw_y
1 31.8741178668
2 27.7305068152
3 17.6892001806
7 16.3547942355
10 12.5536164713
13 8.0678814344
56 6.5226186310
62 3.9016693186
150 26.4644161805
evaluations raw_y
1 26.9027866158
2 8.9243403141
5 8.8406071260
60 6.2576882933
61 5.2703212057
